anunciante;titulo;municipio;precio_eur;precio_anterior_eur;descuento_pct;superficie_m2;tipo_suelo;referencia_catastral;notas;vendido_con_descuento;es_urbano_o_urbanizable;precio_m2
Bahía Home;Barrio Oruña, Oruña, Piélagos;Piélagos;150000;;;8325.0;Urbanizable;;;False;True;18.01801801801802
Inmosantander;Boo, Piélagos;Piélagos;163000;;;6559.0;Urbanizable;;;False;True;24.851349291050465
Bankcasas.com;Alisal - Cazoña - San Román, Santander;Santander;1054000;;;6648.0;Urbanizable;;;False;True;158.5439229843562
Inmobiliaria.green;Barrio Llejo, 10, Oruña, Piélagos;Piélagos;147500;150000.0;2.0;1163.0;Urbano (solar);;;True;True;126.82717110920035
MENA INMOBILIARIA;Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;555000;;;796.0;Urbano (solar);;;False;True;697.2361809045226
RE/MAX Vértice;Barrio la Soledad, Arce, Piélagos;Piélagos;180000;;;4218.0;Urbanizable;;;False;True;42.67425320056899
Inmobiliarias San Fernando;Calle del Monte, 33, General Dávila, Santander;Santander;850000;;;974.0;Urbano (solar);;Edificabilidad 801 m²;False;True;872.6899383983573
Inmobiliaria Barrio;Calle la Masera, 32, Suances;Suances;160000;;;1622.0;Urbano (solar);;;False;True;98.64364981504316
Inmobiliaria Barrio;Barrio Viveda, 62, Viveda;Viveda;80000;;;1524.0;Urbanizable;;;False;True;52.493438320209975
Inmobiliaria Barrio;Calle Mayor, 10, Suances;Suances;220000;;;1425.0;Urbanizable;;;False;True;154.3859649122807
Inmosantander;Barrio San Antonio, Renedo, Piélagos;Piélagos;88000;;;2121.0;Urbanizable;;;False;True;41.48986327204149
Inmosantander;Barrio Llejo, Oruña, Piélagos;Piélagos;220000;;;5400.0;Urbano (solar);;;False;True;40.74074074074074
Espazio Inmobiliario;Barrio Rinconeda, Polanco;Polanco;78000;;;2963.0;Urbanizable;;;False;True;26.32467094161323
LOCALIA INMOBILIARIA;Abra del Pas, 771, Mogro;Mogro;330000;;;3892.0;Urbano (solar);;;False;True;84.78931140801645
Engel & Völkers Santander;Calle Piélagos, Suances;Suances;650000;;;102180.0;No urbanizable;;;False;False;6.361323155216285
Inmosantander;Barrio La Tejera, Boo, Piélagos;Piélagos;149000;;;1054.0;Urbanizable;;;False;True;141.3662239089184
Espazio Inmobiliario;Calle Castío, Santillana del Mar;Santillana del Mar;1339000;;;36124.0;Urbano (solar);;;False;True;37.06677001439486
LOCALIA INMOBILIARIA;Ca-131, s/n, Santillana del Mar;Santillana del Mar;930000;;;14772.0;Urbanizable;;;False;True;62.956945572705116
Engel & Völkers Santander;Calle Bolado, Monte, Santander;Santander;485000;;;475.0;Urbanizable;3134308VP3133C0000PK;;False;True;1021.0526315789474
Inmobiliaria.green;Barrio Menocal, 19 p, Polanco;Polanco;82000;;;531.0;Urbano (solar);;;False;True;154.42561205273068
FRESNO GESTION Y VENTA;Polígono de Raos, Maliaño, Camargo;Camargo;475000;;;3000.0;Urbanizable;;;False;True;158.33333333333334
Inmobiliaria las Dunas;Calle el Monte, Suances;Suances;143000;;;1710.0;Urbanizable;;;False;True;83.62573099415205
Inmobiliaria Barrio;Avenida de Dorat, Santillana del Mar;Santillana del Mar;15000;;;2639.0;;;;False;False;5.6839712012125805
Inmobiliaria Barrio;Avenida de Dorat, Santillana del Mar;Santillana del Mar;18000;;;3570.0;;;;False;False;5.042016806722689
Inmobiliaria Zubia & Marisol Ceballos;Calle Bolado, 1151, Monte, Santander;Santander;471600;;;10195.0;Urbanizable;;;False;True;46.25796959293771
Engel & Völkers Santander;Avenida de Dorat, Santillana del Mar;Santillana del Mar;150000;;;5343.0;Urbano (solar);39076A001ZP;Duplicado id 11;False;True;28.07411566535654
viBe;Diseminado Escobedo, Escobedo, Camargo;Camargo;120000;;;5630.0;Urbanizable;;;False;True;21.314387211367674
Inmobiliaria Barrio;Carretera Hinojedo-Puente Avios, Suances;Suances;180000;;;15191.0;;;Autorización CROTU;False;False;11.849121190178396
ComisiónZero;Barrio la Rueda, Zurita, Piélagos;Piélagos;95000;;;1000.0;Urbano (solar);;;False;True;95.0
Bankcasas.com;Oruña, Piélagos;Piélagos;166000;175000.0;5.0;2680.0;Urbanizable;;;True;True;61.940298507462686
Beyar Inmobiliaria;Barrio Posadorios, 1, Barcenilla - Quijano, Piélagos;Piélagos;360000;;;15880.0;Urbano (solar);;;False;True;22.670025188916878
Elite Home / Diseño y Confort inmobiliario;Diseminado Queveda, Santillana del Mar;Santillana del Mar;92000;;;1218.0;Urbano (solar);;;False;True;75.53366174055829
Mónica Soto Servicios Inmobiliarios;Barrio Barcenilla, 635, Barcenilla - Quijano, Piélagos;Piélagos;43000;;;16000.0;No urbanizable;;;False;False;2.6875
Asesoría Inmobiliaria Santos S.L.;Calle Queveda-la Fuente, Viveda;Viveda;168000;;;5429.0;Urbano (solar);;;False;True;30.944925400626268
;Barrio Llejo, 8, Oruña, Piélagos;Piélagos;364000;;;4185.0;Urbano (solar);;;False;True;86.97729988052569
Inmobiliaria Barrio;Carretera la Tejera, 4, Suances;Suances;340000;;;6162.0;;;;False;False;55.17689061992859
Inmonojasol s.l;Peñacastillo - Nuevamontaña, Santander;Santander;1200000;;;7795.0;Urbano (solar);;;False;True;153.9448364336113
Inmobiliaria las Dunas;Liencres, Liencres, Piélagos;Piélagos;38000;;;1893.0;No urbanizable;;;False;False;20.073956682514527
Espazio Inmobiliario;Suances;Suances;120000;;;2500.0;Urbano (solar);;;False;True;48.0
Espazio Inmobiliario;Miengo;Miengo;135000;;;6014.0;No urbanizable;;;False;False;22.44762221483206
Espazio Inmobiliario;Boo, Piélagos;Piélagos;187200;;;1253.0;Urbano (solar);;;False;True;149.40143655227453
Espazio Inmobiliario;Santillana del Mar;Santillana del Mar;230000;;;4058.0;Urbano (solar);;;False;True;56.6781665845244
Espazio Inmobiliario;Zurita, Piélagos;Piélagos;105000;;;4004.0;Urbanizable;;;False;True;26.223776223776223
Prada&Asociados;Maliaño, Camargo;Camargo;400000;;;39000.0;No urbanizable;;;False;False;10.256410256410257
Prada&Asociados;Parbayón, Piélagos;Piélagos;110500;;;1276.0;Urbano (solar);;;False;True;86.5987460815047
MENA INMOBILIARIA;Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;119000;;;863.0;Urbano (solar);;;False;True;137.89107763615294
Espazio Inmobiliario;Carandía, Piélagos;Piélagos;59000;;;1373.0;Urbano (solar);;;False;True;42.97159504734159
MENA INMOBILIARIA;Bezana, Santa Cruz de Bezana;Santa Cruz de Bezana;180000;;;1300.0;Urbano (solar);;;False;True;138.46153846153845
Prada&Asociados;Parbayón, Piélagos;Piélagos;95500;;;1104.0;Urbano (solar);;;False;True;86.5036231884058
Espazio Inmobiliario;Carandía, Piélagos;Piélagos;59000;;;1373.0;Urbano (solar);;Duplicado del anuncio ya incluido (id 88 en el dataset anterior);False;True;42.97159504734159
IMAZ&RUIZ;Polanco;Polanco;58000;;;468.0;Urbano (solar);;Texto menciona 469 m²;False;True;123.93162393162393
FRESNO GESTION Y VENTA;Barrio San Juan, Oruña, Piélagos;Piélagos;240000;;;2658.0;Urbano (solar);;Se pueden edificar 2 viviendas (según texto);False;True;90.29345372460497
Inmosantander;Barrio Menocal, Polanco;Polanco;293000;;;4796.0;Urbano (solar);;Parte urbana 1.855 m² + resto rústico (según texto);False;True;61.09257714762302
Espazio Inmobiliario;Zurita, Piélagos;Piélagos;80000;;;1066.0;Urbano (solar);;Ocupación 1,5% y edificabilidad 2% (según texto);False;True;75.046904315197
;Barrio el Tojo, 55 a, Revilla, Camargo;Camargo;180000;;;7728.0;Urbano (solar);;1.900 m² urbanos + resto rústico;False;True;23.29192546583851
Inmobiliaria Barrio;Calle Bosco, 13, Suances;Suances;269000;;;1309.0;Urbanizable;;;False;True;205.5003819709702
ComisiónZero;Arce, Piélagos;Piélagos;70000;;;4591.0;No urbanizable;;En texto aparece ORUÑA Bº Palacio;False;False;15.247222827270747
ComisiónZero;Zurita, Piélagos;Piélagos;70000;;;18300.0;No urbanizable;39052A010000860000JL|39052A010000840000JQ;;False;False;3.8251366120218577
ComisiónZero;Zurita, Piélagos;Piélagos;60000;;;1200.0;Urbano (solar);9494107VN1999S0001TH;Indica 'AHORA NO DISPONIBLE' (según texto);False;True;50.0
Mies de Rial;Barrio el Jurrio, Parbayón, Piélagos;Piélagos;150000;;;2892.0;Urbano (solar);;Apto para 2 chalets;False;True;51.86721991701245
IMAZ&RUIZ;Igollo, Camargo;Camargo;129000;;;1415.0;Urbano (solar);;Proyecto vivienda 287 m²;False;True;91.1660777385159
IMAZ&RUIZ;Igollo, Camargo;Camargo;33000;;;2590.0;No urbanizable;;Sin posibilidad de construir (según texto);False;False;12.741312741312742
;Calle el Mazo de Abajo, 63, Alisal - Cazoña - San Román, Santander;Santander;2653000;;;6945.0;Urbano (solar);;Parcela 2 UA 6-AE 92.2 San Román-El Mazo;False;True;382.0014398848092
;Avenida de Dorat, Santillana del Mar;Santillana del Mar;155000;;;2574.0;;;;False;False;60.21756021756022
