variable,VIF
superficie_construida_m2,2.555352
numero_dormitorios,2.221045
numero_banos,1.909887
dummy_tipologia_unifamiliar,2.496588
distancia_min_playa_km,1.045088
distancia_min_supermercado_km,1.788389
distancia_min_colegio_km,1.495125
