variable,coef,std_error,t_value,p_value
const,272503.396355,5238.254492,52.021794,0.0
superficie_construida_m2,49298.035036,8373.595582,5.88732,0.0
numero_dormitorios,3837.618685,7806.660868,0.491583,0.623265
numero_banos,68849.535213,7239.197253,9.510659,0.0
dummy_tipologia_unifamiliar,10096.983692,8276.753021,1.219921,0.223162
distancia_min_playa_km,-38049.312426,5355.043471,-7.105323,0.0
distancia_min_supermercado_km,-9514.019016,7005.152267,-1.358146,0.175128
distancia_min_colegio_km,-10624.987708,6405.09082,-1.658835,0.097877
