propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,newDevelopmentHighlight,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
110855555,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/31/85/7d/1417599594.webp,RVA0117,36,7,1400.0,flat,rent,84.0,True,2,1,calle Valdenoja,Cantabria,Santander,Valdenoja,es,43.4805699,-3.7892089,False,https://www.idealista.com/inmueble/110855555/,9805,"Vivienda en alquiler para temporada de estudiantes (SEPTIEMBRE - JUNIO) y temporada de verano. Cuenta con 84 m2 construidos situada en una de las zonas más codiciadas de Santander: Valdenoja- La Pereda. Combina un entorno residencial tranquilo con servicios, naturaleza y accesibilidad, a escasos minutos de la Playa del Sardinero.  Ubicado en una urbanización privada, con zona de aparcamiento, y amplias zonas verdes; este luminoso piso destaca por sus impresionantes vistas al mar desde todas las estancias, una auténtica joya para quienes quieren disfrutar de alijarse frente al mar. Distribución: •Salón-comedor perfecto para disfrutar del entorno y del mar como telón de fondo. •2 habitaciones exteriores, ambas con vistas directas a la playa y una con terraza exterior •1 baño completo, amplio y funcional. •Cocina equipada con excelente luz natural y vistas al Sardinero Extras: •Terraza privada con orientación privilegiada. •Plaza de aparcamiento exterior en zona común. Entorno: A 10 minutos de la playa del Sardinero andando. Ubicado en un entorno tranquilo y bien comunicado, con fácil acceso a transporte público, colegios, comercios y a un paso del Parque de Mataleñas y el Campo de Golf Municipal. TARIFAS TEMPORADA ESTUDIANTES: 1400€/mes JUNIO: 3400€/mes  1800€/quincena  900€/ semana JULIO Y AGOSTO: 5000€/mes  2500€/quincena  1200€/semana.",False,good,False,True,17.0,False,False,False,False,[],False,False,False,1400.0,€/mes,flat,"Valdenoja, Santander",Piso en calle Valdenoja,True,True,,,,,
110854612,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c3/d6/8c/1417563298.webp,923-1713-2026_TEMP,20,2,900.0,flat,rent,71.0,True,3,1,cuesta de la Atalaya,Cantabria,Santander,General Dávila,es,43.4666711,-3.8076959,False,https://www.idealista.com/inmueble/110854612/,8111,"SOLO TEMPORADA ESCOLAR. A partir de septiembre 2026. (Curso 26-27).  Se alquila este piso en la Cuesta de la Atalaya, en muy buen estado, de unos 70 metros de superficie, distribuidos en 3 dormitorios, salón, cocina, baño y galería.  Totalmente exterior, se trata de una segunda planta sin ascensor, con pocas escaleras y muy luminoso, ubicado en edificio con comunidad muy tranquila.  La vivienda dispone de sistema de calefacción de gas natural, ventanas de PVC y suelos de tarima. La situación es inmejorable, en la cuesta de la Atalaya, junto a la parada del autobús, con escaleras mecánicas de subida y cerca del funicular y a 5 minutos caminando del centro.  En una zona con todos los servicios.  Llámanos y solicita más información, nuestro equipo de expertos estará encantado de ayudarte en todo aquello que necesites. EC Inmobiliaria, con oficinas en Santander, en la calle Floranes 63 junto a Cuatro Caminos y en Fernando de los Ríos 58.",False,good,False,False,13.0,False,False,False,False,[],False,False,False,900.0,€/mes,flat,"General Dávila, Santander",Piso en cuesta de la Atalaya,,,,,,,
110854592,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6b/0b/fa/1417562581.webp,346,23,1,800.0,flat,rent,70.0,True,3,1,paseo de Altamira,Cantabria,Santander,General Dávila,es,43.4692862,-3.8023754,False,https://www.idealista.com/inmueble/110854592/,8562,"ALQUILER DE SEPTIEMBRE A JUNIO. Buscas piso de alquiler de temporada? ÉTICA INMOBILIARIA te ofrece este piso cerca de las universidades, ideal para estudiantes o profesores. Se trata de un piso completamente amueblado distribuido en 3 habitaciones dobles, baño completo con plato de ducha, cocina equipada y salón. Su orientación Norte/Sur hace que sea muy luminoso. Dispone de calefacción de gas individual, ventanas de PVC de doble cristal, suelos de madera. Se encuentra dentro de una urbanización privada con zona de aparcamiento. Cerca de zonas de ocio, paradas de autobús, supermercados, muy cerca del funicular que te lleva en 5 minutos al centro de la ciudad. No lo dudes y si buscas un piso en alquiler para el curso que viene, llámanos y te lo enseñamos e informamos.",False,good,False,False,11.0,False,False,False,False,[],False,False,False,800.0,€/mes,flat,"General Dávila, Santander",Piso en paseo de Altamira,,,,,,,
110854038,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e1/17/c6/1417543974.webp,,20,,1300.0,flat,rent,228.0,,3,2,calle Tomás Maza Solano,Cantabria,El Astillero,,es,43.4027918,-3.8294993,False,https://www.idealista.com/inmueble/110854038/,9138,"¿Buscas un apartamento espacioso en El Astillero? Este apartamento amueblado de 3 dormitorios está equipado con comodidades modernas, como calefacción de gas natural, cocina totalmente equipada con lavavajillas y horno, y acceso a balcón o terraza. Se admiten mascotas, lo que lo convierte en la opción perfecta para quienes tienen mascotas. Ten en cuenta que, aunque el agua y el wifi están incluidos, la electricidad y el gas deben gestionarse por separado. Spotahome investiga minuciosamente a todos los propietarios para garantizar una experiencia de alquiler cómoda. Ubicado en El Astillero, este apartamento se beneficia de su proximidad a varios puntos de interés. El colegio María Jesús está cerca, junto con tiendas locales como los mercados de Día y Covirán. Para comer y disfrutar del ocio, encontrarás el Restaurante Hermanos Sampedro, la Taberna 1930, Piccola y la barbacoa La Ksuka a poca distancia a pie. El Astillero ofrece un entorno vibrante y bien conectado para una vida cómoda.",False,good,False,True,6.0,False,False,False,False,[],False,False,False,1300.0,€/mes,flat,El Astillero,Piso en calle Tomás Maza Solano,,,,,,,
110853819,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5e/6e/cd/1417538391.webp,W-048SF7,28,8,2500.0,flat,rent,116.0,True,3,2,calle Isabel II,Cantabria,Santander,Castilla - Hermida,es,43.4581128,-3.8104051,False,https://www.idealista.com/inmueble/110853819/,7888,"Piso exclusivo con vistas en Santander Engel & Völkers presenta este exclusivo piso de diseño a estrenar con impresionantes vistas a la Bahía de Santander. La propiedad dispone de 116m² construidos con amplio salón-comedor, cocina totalmente equipada, tres dormitorios, dos de ellas y dos cuartos de baño con plato de ducha. Desde el salón y desde una de las habitaciones disfrutará de las mejores vistas a la Bahía, a la playa de El Puntal, al Centro Botín y a Peña Cabarga. Reformado totalmente con las mejores calidades: cocina de Santos, baños de Porcelanosa, luces de led y domótica. Diseño minimalista, con muebles cuidadosamente escogidos. Se alquila amueblado y con plaza de garaje muy próxima. Alquiler para larga estancia. El inmueble está ubicado en la calle Isabel II, exclusiva zona del centro de Santander, en pleno paseo marítimo con inmejorables vistas de la Bahía. Excelente ubicación desde donde se puede ir dando un paseo al Centro Botín, la Plaza Porticada, la Catedral y el Ayuntamiento.  Estación de trenes Feve, corta y media distancia, así como de autobuses a 100 metros. Amplia oferta de servicios en la zona: bancos, supermercados, variedad de tiendas y restaurantes.",False,good,False,True,22.0,False,False,False,False,[],False,False,False,2500.0,€/mes,flat,"Castilla - Hermida, Santander",Piso en calle Isabel II,True,True,,,,,
110849956,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/04/b7/1417438597.webp,,12,4,800.0,flat,rent,70.0,True,2,1,calle Castilla,Cantabria,Santander,Castilla - Hermida,es,43.4589493,-3.8089125,False,https://www.idealista.com/inmueble/110849956/,8004,"Junto a la Plaza de las estaciones, edificio de calidad. Piso muy acogedor y reformado. NO SE ADMITEN MASCOTAS  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,11.0,False,False,False,False,[],False,False,False,800.0,€/mes,flat,"Castilla - Hermida, Santander",Piso en calle Castilla,,,,900.0,100.0,11.0,
110849483,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/97/8c/02/1417429193.webp,,33,9,1300.0,flat,rent,140.0,True,3,2,calle San Fernando,Cantabria,Santander,Cuatro Caminos,es,43.4588271,-3.8210441,False,https://www.idealista.com/inmueble/110849483/,7026,"Piso alto, soleado al Sur, pequeña terracita. 2 camas de matrimonio y un tercer dormitorio con 2 camas. *NO SE ADMITEN MASCOTAS Ideal matrimonio maduro o personal funcionario, ingeniería, sanidad, etc. ….  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,9.0,False,False,False,False,[],False,False,False,1300.0,€/mes,flat,"Cuatro Caminos, Santander",Piso en calle San Fernando,,,,,,,
110849280,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bf/21/57/1417421180.webp,,9,2,950.0,flat,rent,60.0,True,1,1,avenida de la Reina Victoria,Cantabria,Santander,Puerto Chico,es,43.4632995,-3.7878366,False,https://www.idealista.com/inmueble/110849280/,9698,"Apartamento amplio en primera línea de Puertochico con salón y dormitorios exteriores. Próximo a playas y zonas de ocio de Santander. Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,16.0,False,False,False,False,[],False,False,False,950.0,€/mes,flat,"Puerto Chico, Santander",Piso en avenida de la Reina Victoria,,,,,,,
110849528,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/5a/58/1417429656.webp,0803-130033-OJAIZ,26,,1300.0,chalet,rent,150.0,,3,3,calle Luis Buñuel,Cantabria,Santander,Peñacastillo - Nuevamontaña,es,43.4428691,-3.8752388,False,https://www.idealista.com/inmueble/110849528/,3393,"Luminoso chalet PAREADO junto al PCTCAN y a 5 minutos de Valdecilla. REFORMADO y RECIEN PINTADO. Se alquila vacío o amueblado /////NO; NO MASCOTAS/////// Imprescindible SEGURO de IMPAGO + 1 mes de Jardín de 90 m2 con orientación Suroeste-Norte. Incluye huerto urbano y un cobertizo para herramientas. (con huerto urbano). Planta principal: cocina totalmente equipada, aseo y amplio salón de 30 m2 con salida a la terraza (con toldo) y al jardín. Planta superior: 3 habitaciones (la principal en suite con baño completo), y un 2º baño. Planta sótano: bodega de 14 m2, lavadero y garaje para 2 coches con puerta automática. A 300 metros del acceso a S-20 y S-30 y del transporte urbano (Línea 3).  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,,9.0,False,False,False,False,[],False,False,False,1300.0,€/mes,chalet,"Peñacastillo - Nuevamontaña, Santander",Chalet pareado en calle Luis Buñuel,True,True,,,,,semidetachedHouse
110852038,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5c/7f/25/1417479270.webp,0803-105032-QUEVEDO-2MESES ,12,3,1050.0,flat,rent,115.0,True,3,2,calle de Torres Quevedo,Cantabria,Santander,Alisal - Cazoña - San Román,es,43.4580973,-3.8382243,False,https://www.idealista.com/inmueble/110852038/,5648,"*LEER BIEN* SOLO SE ALQUILA LOS 2 MESES COMPLETOS DE julio y de agosto**** no se alquila para veraneo. SOLO se alquila para trabajadores y estudiantes y tienen que justificarlo para añadirlo al contrato. El precio es una autentica oportunidad porque es lo que cuesta una semana en esos meses. Condiciones 1º se coge por fotos porque está habitado por estudiantes hasta final de junio. 2º Comisión de 600 euros + IVA. 3º El contrato se firma antes de la fecha de entrada para que inquilinos y propiedad tengan el trato cerrado y asegurado.  Este anuncio es informativo y no contractual, puede contener errores, se muestra a título informativo y no es vinculante. Además, está sujeto a la decisión final del propietario.",False,good,False,True,9.0,False,False,False,False,[],False,False,False,1050.0,€/mes,flat,"Alisal - Cazoña - San Román, Santander",Piso en calle de Torres Quevedo,,,,,,,
