y_true,y_pred,residual
178000.0,192515.11839362056,-14515.118393620563
595000.0,448852.129393819,146147.87060618098
165000.0,191440.3857007974,-26440.3857007974
355000.0,313004.35263958346,41995.64736041654
200000.0,230852.4421306571,-30852.442130657088
170000.0,223624.83942403022,-53624.839424030215
84000.0,194257.12045328834,-110257.12045328834
440000.0,164615.02285585366,275384.97714414634
650000.0,251867.96988159037,398132.03011840966
660000.0,455173.2792119317,204826.7207880683
350000.0,409360.20070454874,-59360.20070454874
190000.0,215658.11046708917,-25658.110467089165
164900.0,150248.36219143856,14651.637808561441
70000.0,124594.93163941319,-54594.93163941319
209000.0,173381.63748825243,35618.362511747575
345000.0,288471.0390471434,56528.96095285658
480000.0,536543.1068136084,-56543.106813608436
215000.0,178828.33050976123,36171.66949023877
115000.0,193058.56978315717,-78058.56978315717
240000.0,191388.18210944816,48611.81789055184
205000.0,227218.86703380823,-22218.86703380823
360000.0,203872.14052777365,156127.85947222635
530000.0,648605.0165845483,-118605.01658454828
985000.0,796353.2228669768,188646.77713302325
215000.0,207225.90789675372,7774.092103246279
170000.0,223624.83942403022,-53624.839424030215
207000.0,273598.4081724827,-66598.40817248268
112000.0,159449.01894643938,-47449.01894643938
355000.0,279587.1588039738,75412.84119602619
270000.0,238550.7164358206,31449.283564179408
129000.0,149651.25555889096,-20651.25555889096
125000.0,191427.79620443098,-66427.79620443098
170000.0,195597.51895696184,-25597.518956961838
300000.0,297203.68568384554,2796.3143161544576
887000.0,601112.9551303835,285887.0448696165
178000.0,192155.50659708423,-14155.506597084226
190000.0,180129.86778366618,9870.132216333819
180000.0,215402.75704059235,-35402.75704059235
225000.0,227218.86703380823,-2218.86703380823
349000.0,335160.18687290367,13839.813127096335
350000.0,360371.3813951811,-10371.381395181117
215000.0,254622.66177052518,-39622.661770525185
177000.0,224630.68003136694,-47630.68003136694
243000.0,270148.2148564353,-27148.214856435312
110000.0,125501.75075026702,-15501.75075026702
335000.0,276061.4447729549,58938.555227045086
185000.0,209837.15256878207,-24837.15256878207
270000.0,238550.7164358206,31449.283564179408
185000.0,143428.76726096266,41571.23273903734
615000.0,470643.32999185857,144356.67000814143
195000.0,215719.17462015472,-20719.17462015472
238000.0,290993.6656351686,-52993.66563516861
244000.0,275090.5188057767,-31090.518805776723
230000.0,247575.98336598222,-17575.983365982218
173000.0,196849.92193861568,-23849.921938615676
220000.0,199484.7305141841,20515.269485815894
580000.0,446888.3804825524,133111.6195174476
595000.0,323583.67679911974,271416.32320088026
169000.0,203502.86637772887,-34502.866377728875
235000.0,195638.00431300086,39361.995686999144
215000.0,253215.58242796414,-38215.58242796414
133000.0,138823.80035284135,-5823.800352841354
450000.0,334160.03220265853,115839.96779734147
261000.0,262592.330999518,-1592.330999517988
287000.0,150554.78760616513,136445.21239383487
595000.0,329559.06093458674,265440.93906541326
245000.0,191113.24139694532,53886.75860305468
130000.0,173745.41070675474,-43745.410706754745
799000.0,1086670.9656644159,-287670.96566441585
298000.0,208356.0459802755,89643.95401972451
265000.0,270638.42295130336,-5638.422951303364
196000.0,195638.00431300086,361.9956869991438
230000.0,245787.1108461762,-15787.11084617619
295000.0,214488.36546395026,80511.63453604974
290000.0,246099.15671323152,43900.843286768475
195000.0,256449.52091790116,-61449.52091790116
350000.0,259534.50059244063,90465.49940755937
1100000.0,650196.2190039069,449803.78099609306
498000.0,303159.0192073074,194840.98079269257
545000.0,463100.19511171646,81899.80488828354
190000.0,200936.6079186143,-10936.607918614289
173000.0,196849.92193861568,-23849.921938615676
500000.0,379575.7666174042,120424.23338259582
253000.0,290993.6656351686,-37993.66563516861
170000.0,223624.83942403022,-53624.839424030215
460000.0,257874.5707502744,202125.4292497256
185000.0,135923.1008495999,49076.8991504001
335000.0,193170.92513898708,141829.07486101292
515000.0,648605.0165845483,-133605.01658454828
210000.0,182764.97554392103,27235.024456078972
620000.0,299507.73094530596,320492.26905469404
195000.0,230547.0273474461,-35547.0273474461
220000.0,231375.7877245585,-11375.787724558497
219000.0,134662.92486501439,84337.07513498561
375000.0,196026.013028555,178973.986971445
119900.0,194485.27707497845,-74585.27707497845
569000.0,285733.9057864083,283266.0942135917
142000.0,175945.95436596754,-33945.95436596754
230000.0,297827.2950491063,-67827.2950491063
295000.0,194962.7539249268,100037.2460750732
170000.0,141902.32862708348,28097.67137291652
244900.0,301191.85547758546,-56291.85547758546
306000.0,303826.3032553723,2173.6967446277267
950000.0,306506.13760256936,643493.8623974307
220000.0,193905.26201466192,26094.737985338084
170000.0,223624.83942403022,-53624.839424030215
395000.0,421841.64019146503,-26841.640191465034
139000.0,155595.9902487409,-16595.990248740913
690000.0,475177.90869389503,214822.09130610497
176000.0,200088.171378068,-24088.171378067986
