variable,VIF
superficie_construida_m2,2.564292
numero_dormitorios,2.220291
numero_banos,2.077944
dummy_tipologia_unifamiliar,2.18649
tiene_garaje_bin,1.24048
obra_nueva_bin,1.143797
precio_m2_municipio,1.156799
