variable,coef,std_error,t_value,p_value
const,272503.396355,4868.803353,55.969276,0.0
superficie_construida_m2,49306.913346,7796.612249,6.324146,0.0
numero_dormitorios,10511.161416,7254.828574,1.44885,0.148106
numero_banos,60744.823816,7018.4162,8.655061,0.0
dummy_tipologia_unifamiliar,2452.697781,7199.394829,0.340681,0.73351
tiene_garaje_bin,20118.123446,5422.719139,3.70997,0.000234
obra_nueva_bin,-20477.563162,5207.109027,-3.932617,9.8e-05
precio_m2_municipio,53299.531015,5236.621091,10.178229,0.0
