codigo_inmueble,precio,superficie_construida_m2,numero_dormitorios,numero_banos,tipologia,latitud,longitud,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km,log_precio,log_superficie_construida_m2,precio_m2,precio_m2_municipio_media,ratio_dormitorios_superficie,ratio_banos_superficie,habitaciones,ratio_habitaciones_superficie,interaccion_superficie_banos,interaccion_superficie_habitaciones,planta_num,interaccion_planta_sin_ascensor_piso,latitud_2,longitud_2,interaccion_latitud_longitud,distancia_centro_municipio_km,inv_distancia_min_playa_km,inv_distancia_min_supermercado_km,inv_distancia_min_colegio_km,score_cercania_servicios,superficie_construida_m2_2,numero_banos_2,numero_dormitorios_2,habitaciones_2,tipologia_unificada_piso,tipologia_unificada_unifamiliar,subtipologia_casaDePueblo,subtipologia_countryHouse,subtipologia_desconocido,subtipologia_duplex,subtipologia_independantHouse,subtipologia_penthouse,subtipologia_semidetachedHouse,subtipologia_studio,subtipologia_terracedHouse,provincia_Cantabria,provincia_Vizcaya,municipio_Ampuero,municipio_Barcena de Cicero,municipio_Camargo,municipio_Cartes,municipio_Castro-Urdiales,municipio_Colindres,municipio_Cudon,municipio_El Astillero,municipio_Entrambasaguas,municipio_Gallarta,municipio_Getxo,municipio_Guarnizo,municipio_Guriezo,municipio_Laredo,municipio_Liendo,municipio_Limpias,municipio_Marina de Cudeyo,municipio_Miengo,municipio_Noja,municipio_Piélagos,municipio_Polanco,municipio_Ramales de la Victoria,municipio_Reocin,municipio_Ribamontan al Mar,municipio_Santa Cruz de Bezana,municipio_Santa Maria de Cayon,municipio_Santander,municipio_Santillana del Mar,municipio_Santoña,municipio_Santurtzi,municipio_Sobremazas,municipio_Solares,municipio_Suances,municipio_Torrelavega,municipio_Villaescusa,municipio_Villapresente,municipio_Viveda,municipio_Voto,distrito_Alisal - Cazoña - San Román,distrito_Bezana,distrito_Boo,distrito_Brazomar,distrito_Carlos V,distrito_Castilla - Hermida,distrito_Centro,distrito_Centro - Ayuntamiento,distrito_Cerezo - Aspla - Torres,distrito_Ciudad Nueva,distrito_Cotolino,distrito_Covadonga - Campuzano - Ciudad Vergel,distrito_Cuatro Caminos,distrito_Cueto,distrito_El Callejo - La Pesquera - La Arenosa,distrito_El Puntal,distrito_El Sardinero,distrito_General Dávila,distrito_Inmobiliaria - Barreda,distrito_La Pereda,distrito_La Txitxarra - Murrieta - Parke Santurtzi,distrito_Las Viñas,distrito_Liencres,distrito_Los Castros,distrito_Maliaño,distrito_Mamariga,distrito_Mioño-Santullán,distrito_Monte,distrito_Mortera,distrito_Muriedas,distrito_Numancia - San Fernando,distrito_Oriñón-Allendagua,distrito_Oruña,distrito_Parbayón,distrito_Peñacastillo - Nuevamontaña,distrito_Playa Ostende,distrito_Puerto Chico,distrito_Renedo,distrito_Ris,distrito_Samano,distrito_Somo,distrito_Soto de la Marina,distrito_Sta. María de Getxo,distrito_Tregadín,distrito_Valdenoja,distrito_Zona Playa,distrito_Zurita,distrito_desconocido
110637189,1100.0,112.0,3,2,flat,43.4566612,-3.8335629,10.0,1,1,1,0,2.535,0.551,0.174,7.003065458786462,4.718498871295094,9.821428571428571,13.922324389785988,0.026785714285714284,0.017857142857142856,5,0.044642857142857144,224.0,560.0,10,0,1888.4814026515853,14.69620450825641,-166.59384413418948,2.1025670100573266,0.2828854314002829,0.6447453255963893,0.8517887563884157,0.5931398377950293,12544.0,4,9,25,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88711345,780.0,70.0,1,1,flat,43.4620604,-3.8187389,3.0,1,1,0,0,2.422,0.063,0.083,6.659293919683638,4.248495242049359,11.142857142857142,13.922324389785988,0.014285714285714285,0.014285714285714285,2,0.02857142857142857,70.0,140.0,3,0,1888.950694213248,14.58276678637321,-165.97026072362956,0.7716009192176131,0.29222676797194624,0.9407337723424272,0.9233610341643583,0.7187738581595773,4900.0,1,1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101662667,750.0,68.0,2,2,flat,43.3994274,-3.8217254,1.0,1,1,0,0,2.619,0.09,0.145,6.620073206530356,4.219507705176107,11.029411764705882,10.827311975419436,0.029411764705882353,0.029411764705882353,4,0.058823529411764705,136.0,272.0,1,0,1883.5102986478707,14.60558503300516,-165.86069404003595,0.07014633414425625,0.27631942525559544,0.9174311926605504,0.8733624454148472,0.6890376877769976,4624.0,4,4,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110667048,780.0,55.0,1,1,flat,43.4608903,-3.8171437,3.0,1,1,0,0,2.549,0.124,0.099,6.659293919683638,4.007333185232471,14.181818181818182,13.922324389785988,0.01818181818181818,0.01818181818181818,2,0.03636363636363636,55.0,110.0,3,0,1888.8489856686342,14.57058602644969,-165.8964636050361,0.703786604934266,0.2817695125387433,0.889679715302491,0.9099181073703367,0.6937891117371904,3025.0,1,1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110670081,1100.0,80.0,3,1,flat,43.4650075,-3.7944959,5.0,1,1,0,0,0.755,0.054,0.09,7.003065458786462,4.382026634673881,13.75,13.922324389785988,0.0375,0.0125,4,0.05,80.0,320.0,5,0,1889.206876975056,14.398199135116808,-164.92779275221923,1.2215078761862008,0.5698005698005698,0.9487666034155597,0.9174311926605504,0.8119994552922266,6400.0,1,9,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110667026,975.0,91.0,2,1,flat,43.4630126,-3.8145281,2.0,1,0,0,0,2.33,0.124,0.239,6.882437470997846,4.51085950651685,10.714285714285714,13.922324389785988,0.02197802197802198,0.01098901098901099,3,0.03296703296703297,91.0,273.0,2,2,1889.0334642677587,14.55062462568961,-165.79088287335406,0.4157124315905826,0.3003003003003003,0.889679715302491,0.8071025020177564,0.6656941725401825,8281.0,1,4,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110664046,2300.0,180.0,4,2,flat,43.4629715,-3.7890283,7.0,1,1,0,0,0.272,0.128,0.206,7.740664401917241,5.19295685089021,12.777777777777779,13.922324389785988,0.022222222222222223,0.011111111111111112,6,0.03333333333333333,360.0,1080.0,7,0,1889.0298916098125,14.35673545820089,-164.68242901559347,1.6621053781780293,0.7861635220125786,0.8865248226950354,0.8291873963515755,0.833958580353063,32400.0,4,16,36,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110620157,1200.0,130.0,4,3,chalet,43.4183926,-3.8469974,,0,0,1,0,2.982,0.138,0.276,7.090076835776092,4.867534450455582,9.23076923076923,10.650202985219561,0.03076923076923077,0.023076923076923078,7,0.05384615384615385,390.0,910.0,0,0,1885.1568159677345,14.799388995606758,-167.03044344437922,0.7272220004016504,0.25113008538422904,0.8787346221441126,0.7836990595611285,0.6378545890298234,16900.0,9,16,49,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85092716,1525.0,115.0,5,2,flat,43.4590308,-3.8100554,4.0,1,1,0,0,2.012,0.028,0.169,7.329749689041512,4.74493212836325,13.26086956521739,13.922324389785988,0.043478260869565216,0.017391304347826087,7,0.06086956521739131,230.0,805.0,4,0,1888.6873580753488,14.516522151069159,-165.58131497830632,0.5571212107398016,0.33200531208499334,0.9727626459143969,0.8554319931565441,0.7200666503853115,13225.0,4,25,49,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110658974,975.0,83.0,3,1,flat,43.4594894,-3.8223717,6.0,1,1,0,0,2.513,0.057,0.111,6.882437470997846,4.418840607796598,11.74698795180723,13.922324389785988,0.03614457831325301,0.012048192771084338,4,0.04819277108433735,83.0,332.0,6,0,1888.7272189087125,14.610525412960891,-166.11832237901,1.1498346750409636,0.2846569883290635,0.946073793755913,0.9000900090009001,0.7102735970286256,6889.0,1,9,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
