precio,superficie_construida_m2,numero_dormitorios,numero_banos,planta,es_exterior,tiene_ascensor,tiene_garaje,obra_nueva,latitud,longitud,provincia,distrito,tipologia,subtipologia,precio_m2_raw,distancia_min_playa_km,distancia_min_supermercado_km,distancia_min_colegio_km,es_exterior_piso,tiene_ascensor_piso,planta_num,log_precio,log_superficie_construida_m2,precio_m2,precio_m2_municipio_media,ratio_dormitorios_superficie,ratio_banos_superficie,interaccion_superficie_banos,interaccion_planta_sin_ascensor_piso,latitud_2,longitud_2,interaccion_latitud_longitud,distancia_centro_municipio_km,score_cercania_servicios,superficie_construida_m2_2,numero_banos_2,numero_dormitorios_2,tipologia_unificada_piso,tipologia_unificada_unifamiliar,municipio_Camargo,municipio_Castro-Urdiales,municipio_El Astillero,municipio_Piélagos,municipio_Santander,municipio_Torrelavega,municipio_otro
890.0,68.0,2,1,12.0,1,1,0,0,43.4689026,-3.7939219,Cantabria,Los Castros,flat,,13.0,0.955,0.12,0.265,1,1,12,6.7912214627261855,4.219507705176107,13.088235294117647,12.248973929818641,0.029411764705882353,0.014705882352941176,68.0,0,1889.5454932482867,14.39384338329961,-164.91762154310695,1.5533335149183243,0.7316266427519623,4624.0,1,4,1,0,0,0,0,0,1,0,0
1000.0,70.0,2,2,1.0,1,1,0,0,43.4616298,-3.8097608,Cantabria,Centro - Ayuntamiento,flat,,14.0,1.949,0.208,0.233,1,1,1,6.907755278982137,4.248495242049359,14.285714285714286,12.248973929818641,0.02857142857142857,0.02857142857142857,140.0,0,1888.9132648722477,14.514277353216638,-165.5784135161518,0.26155443960221275,0.6593141923228426,4900.0,4,4,1,0,0,0,0,0,1,0,0
870.0,65.0,2,2,2.0,1,1,0,0,43.4614616,-3.8130404,Cantabria,Numancia - San Fernando,flat,,13.0,2.214,0.019,0.259,1,1,2,6.768493211648629,4.174387269895637,13.384615384615385,12.248973929818641,0.03076923076923077,0.03076923076923077,130.0,0,1888.8986444082745,14.539277092032162,-165.72030892384865,0.2539542115816954,0.6955914041058963,4225.0,4,4,1,0,0,0,0,0,1,0,0
850.0,55.0,1,1,1.0,1,1,0,0,43.4608416,-3.812156,Cantabria,Centro - Ayuntamiento,flat,,15.0,2.149,0.119,0.251,1,1,1,6.745236349484363,4.007333185232471,15.454545454545455,12.248973929818641,0.01818181818181818,0.01818181818181818,55.0,0,1888.8447525802908,14.532533368335999,-165.6795080704896,0.30053386652394537,0.6701922304197933,3025.0,1,1,1,0,0,0,0,0,1,0,0
790.0,56.0,2,1,,1,0,0,0,43.468096,-3.7996788,Cantabria,Los Castros,flat,,14.0,1.277,0.127,0.155,1,0,0,6.6720329454610665,4.02535169073515,14.107142857142858,12.248973929818641,0.03571428571428571,0.017857142857142856,56.0,0,1889.4753698652162,14.43755898316944,-165.16480284756483,1.0942678684966551,0.7307622214454512,3136.0,1,4,1,0,0,0,0,0,1,0,0
1550.0,100.0,3,2,1.0,1,1,0,0,43.4648877,-3.7975076,Cantabria,Puerto Chico,flat,,16.0,0.985,0.109,0.141,1,1,1,7.346010209913293,4.605170185988092,15.5,12.248973929818641,0.03,0.02,200.0,0,1889.196462773611,14.421063972057759,-165.05824137389652,1.154202711204979,0.7606385940079874,10000.0,4,9,1,0,0,0,0,0,1,0,0
920.0,75.0,2,1,3.0,1,0,0,0,43.4707978,-3.7966825,Cantabria,Los Castros,flat,,12.0,1.057,0.278,0.419,1,0,3,6.824373670043086,4.31748811353631,12.266666666666667,12.248973929818641,0.02666666666666667,0.013333333333333334,75.0,3,1889.710261368485,14.41479800580625,-165.04481726829852,1.456103032498974,0.6577797065281104,5625.0,1,4,1,0,0,0,0,0,1,0,0
850.0,60.0,1,1,2.0,1,0,0,0,43.4653206,-3.81482,Cantabria,Centro - Ayuntamiento,flat,,14.0,2.363,0.135,0.237,1,0,2,6.745236349484363,4.0943445622221,14.166666666666666,12.248973929818641,0.016666666666666666,0.016666666666666666,60.0,2,1889.2340948607841,14.552851632400001,-165.812374331292,0.3224817269450666,0.6622727531486178,3600.0,1,1,1,0,0,0,0,0,1,0,0
800.0,55.0,1,1,8.0,1,1,0,0,43.4636642,-3.8008348,Cantabria,Puerto Chico,flat,,15.0,1.228,0.106,0.032,1,1,8,6.684611727667927,4.007333185232471,14.545454545454545,12.248973929818641,0.01818181818181818,0.01818181818181818,55.0,0,1889.0901056903613,14.446345176891041,-165.19820742687415,0.8758045673529286,0.7739948047268531,3025.0,1,1,1,0,0,0,0,0,1,0,0
950.0,60.0,1,1,2.0,1,1,0,0,43.4626799,-3.787715,Cantabria,Puerto Chico,flat,,16.0,0.166,0.238,0.197,1,1,2,6.856461984594587,4.0943445622221,15.833333333333334,12.248973929818641,0.016666666666666666,0.016666666666666666,60.0,0,1889.0045440898639,14.346784921225,-164.6242445974285,1.9368011416150788,0.8336030879358444,3600.0,1,1,1,0,0,0,0,0,1,0,0
1350.0,90.0,3,2,4.0,1,1,1,0,43.4820961,-3.7944275,Cantabria,Valdenoja,flat,,15.0,0.679,0.455,0.111,1,1,4,7.2078598714324755,4.499809670330265,15.0,12.248973929818641,0.03333333333333333,0.022222222222222223,180.0,0,1890.6926812496351,14.397680052756249,-164.98966119948275,2.4909013392790196,0.7276559490067253,8100.0,4,9,1,0,0,0,0,0,1,0,0
850.0,60.0,2,1,4.0,1,1,1,0,43.4698659,-3.7807267,Cantabria,El Sardinero,flat,,14.0,0.238,0.384,0.185,1,1,4,6.745236349484363,4.0943445622221,14.166666666666666,12.248973929818641,0.03333333333333333,0.016666666666666666,60.0,0,1889.629241363983,14.293894380092892,-164.34768265354955,2.596046765991658,0.7913932172635584,3600.0,1,4,1,0,0,0,0,0,1,0,0
900.0,58.0,2,1,5.0,1,1,1,0,43.4676887,-3.7817874,Cantabria,El Sardinero,flat,,16.0,0.313,0.564,0.201,1,1,5,6.802394763324311,4.060443010546419,15.517241379310345,12.248973929818641,0.034482758620689655,0.017241379310344827,58.0,0,1889.4399609201073,14.301915938798759,-164.38555743278235,2.4569003929840307,0.7445467597899382,3364.0,1,4,1,0,0,0,0,0,1,0,0
1200.0,75.0,3,1,1.0,1,0,0,0,43.4656153,-3.8126084,Cantabria,General Dávila,flat,,16.0,2.198,0.096,0.08,1,0,1,7.090076835776092,4.31748811353631,16.0,12.248973929818641,0.04,0.013333333333333334,75.0,1,1889.2597134075943,14.535982811750559,-165.71737000394853,0.24434181368019062,0.7170100398988891,5625.0,1,9,1,0,0,0,0,0,1,0,0
890.0,75.0,2,2,2.0,1,0,0,0,43.4599905,-3.8098243,Cantabria,Centro - Ayuntamiento,flat,,12.0,1.974,0.121,0.277,1,0,2,6.7912214627261855,4.31748811353631,11.866666666666667,12.248973929818641,0.02666666666666667,0.02666666666666667,150.0,2,1888.7707742600905,14.514761196870488,-165.57492788466917,0.4204803946946045,0.6704644981908797,5625.0,4,4,1,0,0,0,0,0,1,0,0
700.0,104.0,1,2,1.0,1,1,0,0,43.4467396,-3.7702965,Cantabria,,flat,,7.0,0.119,0.333,2.304,1,1,1,6.551080335043405,4.6443908991413725,6.730769230769231,9.615384615384615,0.009615384615384616,0.019230769230769232,208.0,0,1887.6191818702082,14.21513569791225,-163.80709025029142,0.18456452865620201,0.6488353447648026,10816.0,4,1,1,0,0,0,0,0,0,0,1
1100.0,93.0,2,2,3.0,1,1,0,0,43.4630951,-3.7929657,Cantabria,Puerto Chico,flat,,12.0,0.59,0.207,0.089,1,1,3,7.003065458786462,4.532599493153256,11.827956989247312,12.248973929818641,0.021505376344086023,0.021505376344086023,186.0,0,1889.0406356716437,14.386588801376488,-164.85402893013804,1.5115060620826262,0.7919016258022142,8649.0,4,4,1,0,0,0,0,0,1,0,0
950.0,87.0,2,2,1.0,1,1,1,0,43.4747196,-3.8057066,Cantabria,La Pereda,flat,,11.0,1.525,0.264,0.566,1,1,1,6.856461984594587,4.465908118654584,10.919540229885058,12.248973929818641,0.022988505747126436,0.022988505747126436,174.0,0,1890.0512442986242,14.483402725283561,-165.45202731486935,1.3352452503228018,0.6085828161845236,7569.0,4,4,1,0,0,0,0,0,1,0,0
