titulo;municipio;precio_eur;superficie_m2;tipo_suelo;vendido_con_descuento;es_urbano_o_urbanizable;precio_m2
Golbardo, Reocín;Reocín;140000;5040.0;Urbano (solar);False;True;27.77777777777778
Omoño, Ribamontán al Monte;Ribamontán al Monte;75000;5604.0;Urbano (solar);False;True;13.383297644539615
Somo;Ribamontán al Mar;721000;4239.0;Urbano (solar);False;True;170.08728473696627
Loredo;Ribamontán al Mar;1850000;10380.0;Urbano (solar);False;True;178.22736030828517
Torrelavega;Torrelavega;187600;39723.0;Urbanizable;False;True;4.72270473025703
Luaña, Alfoz de Lloredo;Alfoz de Lloredo;250000;2298.0;Urbanizable;False;True;108.79025239338556
Somo;Ribamontán al Mar;245000;507.0;Urbano (solar);False;True;483.23471400394476
Los Corrales de Buelna;Los Corrales de Buelna;84000;8709.0;Urbano (solar);False;True;9.645194626248708
Santa María de Cayón;Santa María de Cayón;190000;1969.0;Urbano (solar);False;True;96.49568308786186
Hoz de Anero;Ribamontán al Monte;189000;28105.0;No urbanizable;False;False;6.724782067247821
Galizano;Ribamontán al Mar;225000;4160.0;No urbanizable;False;False;54.08653846153846
Somo;Ribamontán al Mar;150000;500.0;Urbano (solar);False;True;300.0
San Felices de Buelna;San Felices de Buelna;58000;840.0;Urbano (solar);False;True;69.04761904761905
Alfoz de Lloredo;Alfoz de Lloredo;210000;3615.0;Urbano (solar);False;True;58.09128630705394
Los Corrales de Buelna;Los Corrales de Buelna;55000;1811.0;No urbanizable;False;False;30.369961347321922
Hoz de Anero;Ribamontán al Monte;189000;28165.0;No urbanizable;False;False;6.710456240014202
San Salvador, Medio Cudeyo;Medio Cudeyo;300000;2113.0;Urbano (solar);False;True;141.9782300047326
Loredo;Ribamontán al Mar;1190000;7337.0;Urbano (solar);False;True;162.19163145699878
Argomilla, Santa María de Cayón;Santa María de Cayón;180000;4174.0;Urbano (solar);False;True;43.124101581217055
Penagos;Penagos;285000;4182.0;Urbano (solar);False;True;68.14921090387375
San Felices de Buelna;San Felices de Buelna;65000;4172.0;Urbanizable;False;True;15.580057526366252
Reocín;Reocín;950000;70110.0;No urbanizable;False;False;13.550135501355014
Los Corrales de Buelna;Los Corrales de Buelna;75000;11087.0;Urbanizable;False;True;6.764679354198611
Cartes;Cartes;750000;2676.0;Urbano (solar);False;True;280.2690582959641
Ruiloba;Ruiloba;450000;1512.0;Urbano (solar);False;True;297.6190476190476
Novales;Alfoz de Lloredo;270000;1507.0;Urbano (solar);False;True;179.163901791639
Ribamontán al Monte;Ribamontán al Monte;155000;3856.0;Urbanizable;False;True;40.197095435684645
San Felices de Buelna;San Felices de Buelna;45000;690.0;Urbanizable;False;True;65.21739130434783
Villaescusa;Villaescusa;795000;20551.0;Urbano (solar);False;True;38.68424894165734
Loredo;Ribamontán al Mar;312000;678.0;Urbano (solar);False;True;460.17699115044246
Entrambasaguas;Entrambasaguas;64800;1622.0;No urbanizable;True;False;39.95067817509248
Reocín;Reocín;2500000;6647.0;Urbano (solar);False;True;376.1095230931247
Ribamontán al Monte;Ribamontán al Monte;82000;428.0;Urbano (solar);False;True;191.58878504672896
Mazcuerras;Mazcuerras;54000;500.0;Urbano (solar);False;True;108.0
Puente Viesgo;Puente Viesgo;49000;5001.0;Urbanizable;False;True;9.798040391921615
Castañeda;Castañeda;26500;8486.0;No urbanizable;False;False;3.1227904784350695
Santa María de Cayón;Santa María de Cayón;29800;5821.0;No urbanizable;False;False;5.119395292904999
Puente Viesgo;Puente Viesgo;110000;10749.0;Urbanizable;False;True;10.233510093962229
Ribamontán al Monte;Ribamontán al Monte;60000;3006.0;Urbanizable;False;True;19.960079840319363
Heras, Medio Cudeyo;Medio Cudeyo;430000;3518.0;Urbano (solar);False;True;122.22853894258101
Sobremazas;Medio Cudeyo;90000;2270.0;Urbano (solar);False;True;39.647577092511014
Coo;Los Corrales de Buelna;700000;13073.0;Urbano (solar);False;True;53.545475407328084
Loredo;Ribamontán al Mar;250000;6070.0;Urbanizable;False;True;41.18616144975288
Marina de Cudeyo;Marina de Cudeyo;140000;3000.0;Urbanizable;False;True;46.666666666666664
Reocín;Reocín;159000;6336.0;Urbano (solar);False;True;25.09469696969697
Tanos, Torrelavega;Torrelavega;187600;39723.0;Urbanizable;False;True;4.72270473025703
Penagos;Penagos;110000;7522.0;Urbanizable;False;True;14.623770273863334
Herrera de Ibio, Mazcuerras;Mazcuerras;67000;2330.0;No urbanizable;False;False;28.755364806866954
Guarnizo;Astillero;179900;1185.0;Urbano (solar);False;True;151.81434599156117
Medio Cudeyo;Medio Cudeyo;60000;673.0;Urbano (solar);False;True;89.15304606240713
Medio Cudeyo;Medio Cudeyo;90000;2806.0;Urbano (solar);False;True;32.07412687099073
Medio Cudeyo;Medio Cudeyo;64000;689.0;Urbano (solar);False;True;92.88824383164005
Ribamontán al Monte;Ribamontán al Monte;100000;7753.0;Urbanizable;False;True;12.898232942086935
Medio Cudeyo;Medio Cudeyo;87000;970.0;Urbano (solar);False;True;89.69072164948453
Medio Cudeyo;Medio Cudeyo;60000;711.0;Urbano (solar);False;True;84.38818565400844
Marina de Cudeyo;Marina de Cudeyo;190000;4468.0;Urbanizable;False;True;42.52461951656222
Cabezón de la Sal;Cabezón de la Sal;115000;1350.0;Urbano (solar);False;True;85.18518518518519
Entrambasaguas;Entrambasaguas;999999;87000.0;Urbano (solar);False;True;11.494241379310346
Penagos;Penagos;60000;1831.0;Urbanizable;False;True;32.76897870016384
Argomilla, Santa María de Cayón;Santa María de Cayón;68700;547.0;Urbano (solar);False;True;125.59414990859233
Quijas, Reocín;Reocín;140000;91733.0;No urbanizable;False;False;1.5261683363675014
Puente San Miguel;Reocín;250000;1009.0;Urbano (solar);False;True;247.7700693756194
Somo;Ribamontán al Mar;170000;500.0;Urbano (solar);False;True;340.0
Reocín;Reocín;127000;3259.0;Urbano (solar);False;True;38.9690088984351
Galizano;Ribamontán al Mar;145000;9830.0;Urbano (solar);False;True;14.750762970498474
Reocín;Reocín;130000;5359.0;Urbano (solar);False;True;24.258257137525657
Rubayo, Marina de Cudeyo;Marina de Cudeyo;130000;3500.0;Urbano (solar);False;True;37.142857142857146
Ribamontán al Monte;Ribamontán al Monte;99000;1100.0;Urbanizable;False;True;90.0
El Astillero;El Astillero;560800;3000.0;Urbano (solar);True;True;186.93333333333334
Entrambasaguas;Entrambasaguas;89000;1293.0;Urbano (solar);True;True;68.8321732405259
Ribamontán al Monte;Ribamontán al Monte;73000;2500.0;Urbanizable;False;True;29.2
Santa María de Cayón;Santa María de Cayón;131500;4810.0;Urbano (solar);False;True;27.33887733887734
Langre, Ribamontán al Mar;Ribamontán al Mar;390000;1500.0;Urbano (solar);False;True;260.0
Barrio la Fuente, Solares;Medio Cudeyo (Valdecilla);390000;3600.0;Urbano (solar);False;True;108.33333333333333
CA-409, Penagos;Penagos;120000;4877.0;No urbanizable;False;False;24.605290137379537
Barrio la Iglesia, s/n, Alfoz de Lloredo (Novales);Alfoz de Lloredo;636000;3313.0;Urbano (solar);False;True;191.97102324177482
Barrio Ibio, 64, Mazcuerras;Mazcuerras;163500;2680.0;Urbano (solar);False;True;61.007462686567166
Barrio Obregón, 144, Villaescusa;Villaescusa;189000;1874.0;Urbano (solar);False;True;100.8537886872999
San Salvador, 26, Medio Cudeyo;Medio Cudeyo;218000;2180.0;Urbano (solar);False;True;100.0
Calle la Industria, 32, El Astillero;El Astillero;560800;4363.0;Urbano (solar);False;True;128.53541141416457
Barrio la Riva, Villaescusa (Villanueva);Villaescusa;565000;8720.0;Urbanizable;False;True;64.79357798165138
CA-142, Santa María de Cayón;Santa María de Cayón;498000;86420.0;Urbano (solar);False;True;5.7625549641286735
Barrio la Iglesia, 1A, Ribamontán al Monte (Anero - Alto Marín);Ribamontán al Monte;150000;14764.0;Urbanizable;False;True;10.159848279599025
Cabezón de la Sal (Casar de Periedo);Cabezón de la Sal;59000;304.0;Urbano (solar);False;True;194.07894736842104
Barrio San Juan, 188, Villaescusa (Liaño);Villaescusa;1600000;5328.0;Urbanizable;False;True;300.3003003003003
Urbanización la Cabaña, 55, Ribamontán al Monte (Villaverde de Pontones);Ribamontán al Monte;120000;1184.0;Urbano (solar);False;True;101.35135135135135
Barrio Cuatro Caminos, 170B, Marina de Cudeyo (Elechas);Marina de Cudeyo;110000;714.0;Urbano (solar);False;True;154.06162464985994
Calle Santander (Ramón y Cajal), Los Corrales de Buelna;Los Corrales de Buelna;140000;1144.0;Urbano (solar);False;True;122.37762237762237
Barrio Las Tejas, s/n, Santa María de Cayón (Argomilla de Cayón);Santa María de Cayón;50000;2250.0;Urbanizable;False;True;22.22222222222222
Camino Real, 1048, Bareyo;Bareyo;450000;4613.0;Urbano (solar);False;True;97.55040104053761
Barrio Puente San Miguel, 7, Villapresente;Reocín;99000;2224.0;Urbanizable;False;True;44.514388489208635
