variable,VIF
superficie_construida_m2,2.571758
numero_dormitorios,2.291189
numero_banos,2.14968
dummy_tipologia_unifamiliar,2.599198
tiene_garaje_bin,1.231241
obra_nueva_bin,1.205363
latitud,2.825142
longitud,2.526992
distancia_min_playa_km,2.983333
distancia_min_supermercado_km,1.827686
distancia_min_colegio_km,1.603736
