variable,VIF
superficie_construida_m2,2.588972
numero_dormitorios,2.297457
numero_banos,2.149748
dummy_tipologia_unifamiliar,2.601352
tiene_garaje_bin,1.262623
obra_nueva_bin,1.221496
latitud,2.833689
longitud,2.600823
distancia_min_playa_km,3.437887
distancia_min_supermercado_km,1.87131
distancia_min_colegio_km,1.603811
precio_m2_municipio,1.997038
