y_true,y_pred,residual
178000.0,200911.027780079,-22911.02778007899
595000.0,501646.01560343354,93353.98439656646
165000.0,196893.41783513,-31893.417835130007
355000.0,364502.94327660225,-9502.943276602251
200000.0,224872.55279395593,-24872.552793955925
170000.0,211574.22548378663,-41574.225483786635
84000.0,218513.628647176,-134513.628647176
440000.0,215815.30302770698,224184.69697229302
650000.0,335953.00663337903,314046.99336662097
660000.0,483684.69222147553,176315.30777852447
350000.0,440365.5845638351,-90365.58456383512
190000.0,239651.1101590807,-49651.11015908071
164900.0,148511.73173869107,16388.268261308927
70000.0,100074.19541779559,-30074.195417795592
209000.0,227450.16713741963,-18450.16713741963
345000.0,302986.1137404627,42013.88625953731
480000.0,569837.0222084424,-89837.02220844245
215000.0,200825.30950408202,14174.690495917981
115000.0,206251.10597735512,-91251.10597735512
240000.0,179007.83233025981,60992.167669740185
205000.0,287942.4942110105,-82942.49421101052
360000.0,265983.3849975528,94016.61500244722
530000.0,600399.736082918,-70399.73608291801
985000.0,646858.2606388319,338141.7393611681
215000.0,232077.17141296534,-17077.17141296534
170000.0,211784.13358128938,-41784.13358128938
207000.0,312233.53399263555,-105233.53399263555
112000.0,152430.45731605808,-40430.45731605808
355000.0,341805.7969748444,13194.203025155584
270000.0,255722.32832306376,14277.67167693624
129000.0,68462.76843066746,60537.231569332536
125000.0,179798.54274654243,-54798.54274654243
170000.0,183533.10127882584,-13533.101278825838
300000.0,330327.28166529903,-30327.28166529903
887000.0,584419.1669111154,302580.8330888846
178000.0,259952.71249042556,-81952.71249042556
190000.0,201553.14851827704,-11553.148518277041
180000.0,260241.92914516685,-80241.92914516685
225000.0,242946.8649178,-17946.864917800005
349000.0,336721.38841511984,12278.611584880156
350000.0,408190.2248766064,-58190.22487660637
215000.0,267465.6526817165,-52465.652681716485
177000.0,242233.46594089287,-65233.46594089287
243000.0,342355.0561172034,-99355.05611720338
110000.0,95681.01067688805,14318.98932311195
335000.0,332670.7546191092,2329.2453808907885
185000.0,205081.37070362837,-20081.370703628374
270000.0,256425.43291763408,13574.567082365917
185000.0,124358.33149142857,60641.66850857143
615000.0,500000.2812131988,114999.71878680121
195000.0,172038.9625540612,22961.037445938797
238000.0,303226.21384511987,-65226.21384511987
244000.0,283890.7129119796,-39890.712911979586
230000.0,282689.5565531923,-52689.55655319232
173000.0,198992.43327602532,-25992.433276025316
220000.0,221899.09397375007,-1899.093973750074
580000.0,311809.83119923586,268190.16880076414
595000.0,365813.489014783,229186.510985217
169000.0,223408.5917604325,-54408.59176043249
235000.0,188966.75018428286,46033.249815717136
215000.0,279765.2233029272,-64765.22330292722
133000.0,114263.52998915856,18736.47001084144
450000.0,359010.8596170955,90989.1403829045
261000.0,337078.77278670506,-76078.77278670506
287000.0,164222.37463212552,122777.62536787448
595000.0,361879.840962142,233120.15903785801
245000.0,210602.5585499708,34397.441450029204
130000.0,151404.74956366973,-21404.749563669728
799000.0,692587.7297600221,106412.27023997786
298000.0,233850.57391972258,64149.42608027742
265000.0,341189.76878654177,-76189.76878654177
196000.0,186154.94522688328,9845.054773116717
230000.0,281772.5494856354,-51772.54948563542
295000.0,276697.40070544824,18302.599294551765
290000.0,246139.8168881339,43860.18311186609
195000.0,253416.44995818817,-58416.44995818817
350000.0,345492.5997475436,4507.400252456428
1100000.0,548264.8478953465,551735.1521046535
498000.0,360121.15956103,137878.84043897002
545000.0,443425.4307493309,101574.5692506691
190000.0,222804.1029011425,-32804.1029011425
173000.0,198992.43327602532,-25992.433276025316
500000.0,454485.9015791855,45514.098420814495
253000.0,303226.21384511987,-50226.21384511987
170000.0,211906.09899778944,-41906.098997789435
460000.0,305337.5599859555,154662.44001404452
185000.0,114827.2820694785,70172.7179305215
335000.0,185198.71077075307,149801.28922924693
515000.0,594422.3778785882,-79422.37787858816
210000.0,165841.7805355545,44158.21946444549
620000.0,351006.4362344052,268993.5637655948
195000.0,300743.45305292227,-105743.45305292227
220000.0,291666.5720678429,-71666.57206784288
219000.0,119983.9706856017,99016.0293143983
375000.0,262469.9624328016,112530.0375671984
119900.0,211574.9395489305,-91674.9395489305
569000.0,377672.3591917585,191327.6408082415
142000.0,241539.99115033695,-99539.99115033695
230000.0,366797.7514287889,-136797.75142878888
295000.0,223460.4650443237,71539.5349556763
170000.0,132499.84245601879,37500.157543981215
244900.0,378561.5663601495,-133661.56636014947
306000.0,266694.5362941286,39305.46370587143
950000.0,344450.3017726761,605549.6982273238
220000.0,187112.65453364077,32887.34546635923
170000.0,212406.72538986916,-42406.725389869156
395000.0,492409.89766052656,-97409.89766052656
139000.0,155089.02951125466,-16089.02951125466
690000.0,507013.1603450426,182986.8396549574
176000.0,246026.80867231768,-70026.80867231768
