id_anuncio;fuente;tipo_inmueble;subtipo;direccion_texto;barrio_zona;municipio;precio_eur;precio_anterior_eur;descuento_pct;garaje_incluido;habitaciones;superficie_m2;planta;exterior;ascensor;obra_nueva_flag
194;ACERO Inmobiliaria;piso;;Calle María Cristina;General Dávila;Santander;170000;;;no;1;51;entreplanta;sí;no;0
195;RK IDEPISOS;casa;casa;Peñacastillo - Nuevamontaña;Peñacastillo - Nuevamontaña;Santander;198000;;;no;4;440;;desconocido;desconocido;0
196;ACERO Inmobiliaria;piso;;Calle Santa Lucía;Puerto Chico;Santander;165000;;;no;3;52;4;sí;no;0
197;MENA INMOBILIARIA;casa;casa;Parbayón;Parbayón;Piélagos;215000;;;sí;3;146;;desconocido;desconocido;0
198;Inmobiliarias San Fernando;piso;;Calle Eusebio Santamaría;Peñacastillo - Nuevamontaña;Santander;250000;;;sí;2;68;5;sí;sí;0
199;Inmobiliaria Barrio;dúplex;;Castilla - Hermida;Castilla - Hermida;Santander;372000;;;no;3;108;5;sí;sí;0
200;desconocido;casa;casa independiente;Calle la Llanilla;Alisal - Cazoña - San Román;Santander;890000;;;sí;4;267;;desconocido;desconocido;0
201;Distrito inmobiliario;piso;;Calle Leopoldo Pardo;Castilla - Hermida;Santander;250000;;;no;2;78;3;sí;sí;0
202;Exclusivas inmobiliarias mikeli;casa;chalét pareado;Calle Vicente Trueba 3;Alisal - Cazoña - San Román;Santander;475000;495000;4;sí;4;228;;desconocido;desconocido;0
203;Exclusivas inmobiliarias mikeli;casa;chalét adosado;Avenida de Cantabria;La Pereda;Santander;580000;;;sí;5;159;;desconocido;desconocido;0
204;Exclusivas inmobiliarias mikeli;casa;chalét independiente;Barrio Huyo;Somo;Ribamontán al Mar;1620000;;;sí;7;553;;desconocido;desconocido;0
205;Trece Home;casa;chalét independiente;Avenida del Faro;Ajo;;470000;;;sí;4;269;;desconocido;desconocido;0
206;altamira21.com;casa;chalét independiente;Barrio las Cerreas;Liencres;Piélagos;950000;;;sí;5;351;;desconocido;desconocido;0
207;altamira21.com;piso;;Calle los Indianos;Numancia - San Fernando;Santander;285000;;;no;3;69;3;sí;no;0
208;altamira21.com;casa;chalét;Barrio la Sierra 38;Hazas de Cesto;Praves;490000;;;no;8;248;;desconocido;desconocido;0
209;Inmobiliaria E-Castro;casa;chalét independiente;Barrio Cereceda 11;Rasines;Rasines;295000;;;no;3;228;;desconocido;desconocido;0
210;Inmobiliaria E-Castro;casa;chalét independiente;Calle Monte;Santoña;Santoña;1200000;;;sí;4;348;;desconocido;desconocido;0
211;Exclusivas inmobiliarias mikeli;casa;chalét;Calle Castío;Santillana del Mar;Santillana del Mar;1090000;;;sí;7;492;;desconocido;desconocido;0
212;Inmobiliaria JC de Laredo;casa;chalét independiente;Calle San Pedro;Limpias;Seña (Limpias);349000;;;sí;3;158;;desconocido;desconocido;0
213;RE/MAX Vértice;piso;;Calle Castilla;Castilla - Hermida;Santander;220000;230000;4;no;3;121;8;sí;sí;0
214;Inmobiliaria JC de Laredo;casa;chalét independiente;Centro;Centro;Laredo;369000;;;no;5;205;;desconocido;desconocido;0
215;Inmobiliaria JC de Laredo;casa;chalét adosado;Barcena de Cicero;Barcena de Cicero;;358000;;;sí;4;231;;desconocido;desconocido;0
216;donpiso Santander;piso;;Calle Marqués de la Hermida;Castilla - Hermida;Santander;240000;;;no;4;107;1;sí;sí;0
217;Inmobiliaria JC de Laredo;casa;casa independiente;Barcena de Cicero;Barcena de Cicero;;890000;;;sí;5;500;;desconocido;desconocido;0
218;Inmobiliaria Mi Villa;casa;chalét independiente;Limpias;Limpias;;369000;;;sí;5;204;;desconocido;desconocido;0
219;Inmobiliaria Mi Villa;piso;;Ampuero;Ampuero;;169000;;;sí;3;113;2;sí;no;0
220;Trece Home;piso;dúplex;Calle Salceda;Pedroso;Noja;225000;;;sí;2;85;2;sí;no;0
221;Inmobiliaria Mi Villa;casa;casa independiente;Limpias;Limpias;;445000;;;sí;3;212;;desconocido;desconocido;0
222;Trece Home;casa;chalét;Calle el Casar;Tregadín;Noja;1290000;;;sí;4;740;;desconocido;desconocido;0
223;RE/MAX Vértice;casa;chalét independiente;Barrio el Albulde;Meruelo;Meruelo;680000;;;sí;4;281;;desconocido;desconocido;0
224;Inmobiliaria JC de Laredo;piso;;Colindres;Colindres;;159000;;;no;2;73;2;sí;sí;0
225;altamira21.com;piso;;Calle los Foramontanos;Alisal - Cazoña - San Román;Santander;195000;;;no;3;93;2;sí;sí;0
226;RE/MAX Vértice;casa;chalét independiente;Escobedo;Escobedo;Camargo;680000;;;sí;5;401;;desconocido;desconocido;0
227;Engel & Völkers Santander;casa;chalét pareado;Calle Francisco de Cáceres;Valdenoja;Santander;1050000;;;sí;4;379;;desconocido;desconocido;0
228;Engel & Völkers Santander;casa;casa independiente;Abra del Pas;Mogro;;950000;;;sí;8;286;;desconocido;desconocido;0
229;Trece Home;piso;;Avenida Benedicto Ruiz;Ajo;;325000;;;no;3;101;2;desconocido;desconocido;0
230;Exclusivas inmobiliarias mikeli;casa;chalét independiente;Calle de la Arnia;Soto de la Marina;Santa Cruz de Bezana;1290000;;;sí;5;439;;desconocido;desconocido;0
231;Exclusivas inmobiliarias mikeli;casa;chalét independiente;Guriezo;Guriezo;;630000;650000;3;no;4;255;;desconocido;desconocido;0
232;Inmobiliaria JC de Laredo;finca_rustica;;Voto;Voto;;229000;;;no;7;622;;desconocido;desconocido;0
233;Exclusivas inmobiliarias mikeli;casa;chalét independiente;Calle los Calderones;Soto de la Marina;Santa Cruz de Bezana;1080000;;;sí;4;449;;desconocido;desconocido;0
234;RE/MAX Vértice;piso;;Calle Vargas;Numancia - San Fernando;Santander;180000;200000;10;no;2;92;4;sí;no;0
235;Inmobiliaria Mi Villa;piso;estudio;Calle Marqués de Comillas;Centro;Laredo;138000;;;no;0;40;2;sí;sí;0
236;Inmobiliaria Mi Villa;piso;;Calle el cormecio;Ampuero;Ampuero;160000;;;sí;4;100;1;sí;no;0
237;Inmobiliaria JC de Laredo;casa;casa independiente;Voto;Voto;;195000;;;no;5;200;;desconocido;desconocido;0
238;RE/MAX Vértice;piso;;Avenida España;El Parque - Zapatón;Torrelavega;250000;260000;4;no;5;163;1;sí;sí;0
239;Inmobiliaria Mi Villa;ático;;Calle El Cabrahido;Limpias;Limpias;190000;;;sí;2;67;3;no;sí;0
240;Inmobiliaria JC de Laredo;piso;;Santoña;Santoña;;299000;;;no;9;145;1;sí;sí;0
241;Inmobiliaria Mi Villa;piso;;Calle Espina;Limpias;Limpias;165000;;;sí;2;65;bajo;sí;sí;0
242;Inmobiliaria Mi Villa;piso;;Barrio la Quintana;Ramales de la Victoria;Gibaja;115000;;;no;3;93;2;sí;no;0
243;Fincas Mafer;piso;;Travesía de el Cantón 22;Limpias;Limpias;155000;;;sí;3;97;2;no;sí;0
244;Fincas Mafer;casa;casa independiente;Barrio Secadura-la Fragua 69 a;Voto;Secadura;253000;;;no;5;315;;desconocido;desconocido;0
245;Trece Home;casa;chalét;Barrio Villanueva 39;Meruelo;Meruelo;595000;;;sí;4;236;;desconocido;desconocido;0
246;Engel & Völkers Santander;casa;casa independiente;La concha 6;Suances;Suances;1150000;;;sí;6;591;;desconocido;desconocido;0
247;Inmobiliaria Eurocasa;piso;;Barrio las Cuartas;Renedo;Piélagos;175000;190000;8;sí;2;76;3;sí;sí;0
248;RE/MAX Vértice;piso;;Hoznayo;Hoznayo;;179500;185000;3;sí;2;71;2;sí;no;0
249;Inmobiliaria JC de Laredo;casa;casa de piedra;Calle Menéndez Pelayo;Ramales de la Victoria;Ramales de la Victoria;268000;;;no;6;201;;desconocido;desconocido;0
250;Bahía Home;piso;;Paseo de Altamira 12;General Dávila;Santander;849000;;;sí;5;209;1;sí;sí;0
251;Exclusivas inmobiliarias mikeli;piso;apartamento;Barrio Rodil;Mortera;Piélagos;180000;;;no;1;49;bajo;sí;no;0
252;RE/MAX Vértice;piso;;Barrio Entrambasaguas;Entrambasaguas;Entrambasaguas;238000;;;sí;3;93;2;sí;sí;0
253;Fincas Mafer;casa;casa independiente;La Bárcena 8;Ampuero;Ampuero;479000;;;sí;5;324;;desconocido;desconocido;0
254;Fincas Mafer;piso;;Calle Doctor Senderos 5;Centro;Laredo;360000;;;no;3;106;2;sí;sí;0
255;Trece Home;piso;;Avenida Benedicto Ruiz;Ajo;;210000;;;no;3;100;;sí;desconocido;0
256;RE/MAX Vértice;casa;casa independiente;Barrio la Iglesia;Polanco;Polanco;850000;;;sí;12;580;;desconocido;desconocido;0
257;Bahía Home;casa;chalét independiente;Calle Veridiano Rojo Herrera 7;Cueto;Santander;1199000;;;sí;4;416;;desconocido;desconocido;0
258;INMOGAR BILBAO;casa;casa independiente;Barrio Ontón;Ontón;Castro-Urdiales;349000;;;sí;3;220;;desconocido;desconocido;0
259;Inmobiliaria Eurocasa;piso;;Calle Francisco Cubría;Numancia - San Fernando;Santander;370000;;;no;4;104;1;sí;sí;0
260;Bahía Home;casa;casa independiente;Calle Higarino 443;Miengo;Miengo;500000;;;sí;3;114;;desconocido;desconocido;0
261;Bahía Home;ático;;Avenida Santander 16;Tregadín;Noja;259000;;;sí;2;94;4;sí;sí;0
262;Inmobiliaria Eurocasa;casa;casa;Calle el Mazo de Abajo;Alisal - Cazoña - San Román;Santander;375000;;;no;7;363;;desconocido;desconocido;0
263;donpiso Santander;piso;;Calle Galicia;General Dávila;Santander;169900;;;no;3;66;bajo;sí;no;0
264;ELITE;casa;masía;Calle del Progreso 2;Ampuero;Ampuero;1390000;;;sí;8;874;;desconocido;desconocido;0
265;Engel & Völkers Santander;casa;casa independiente;Calle Torrelavega;Suances;Suances;875000;;;no;4;250;;desconocido;desconocido;0
266;Look and find gijon;casa;chalét;Barrio Requejada;Polanco;Polanco;395000;400000;1;sí;4;300;;desconocido;desconocido;0
267;Engel & Völkers Santander;casa;villa;Barrio la Cotera;Medio Cudeyo;Medio Cudeyo;689900;;;sí;5;412;;desconocido;desconocido;0
268;donpiso Santander;casa;chalét independiente;Calle Lluja;Peñacastillo - Nuevamontaña;Santander;891140;;;desconocido;3;300;;desconocido;desconocido;0
269;Look & Find Ríos Rosas;piso;;Calle Calvo Sotelo;Centro - Ayuntamiento;Santander;640000;;;no;4;195;2;sí;sí;0
270;Inmobiliaria uranga;casa;chalét independiente;Barrio Villanueva;Meruelo;Meruelo;595000;;;sí;4;236;;desconocido;desconocido;1
271;Inmobiliaria uranga;casa;chalét independiente;Puente Barrio el;Guriezo;Guriezo;250000;;;sí;6;483;;desconocido;desconocido;0
272;MiPiso.com;casa;casa independiente;El Callejo - La Pesquera - La Arenosa;Laredo;Laredo;299000;;;no;4;260;;desconocido;desconocido;0
273;Tempo Family Real Estate;casa;chalét independiente;Avenida La Constitución;Hinojedo;Suances;599000;;;no;5;264;;desconocido;desconocido;0
274;INMOBILIARIA VHL;casa;chalét independiente;Barrio Brazomar;Cotolino;Castro-Urdiales;449000;;;sí;4;231;;desconocido;desconocido;0
275;ELITE;casa;chalét independiente;Calle El Millajo;Miengo;Miengo;890000;;;sí;6;360;;desconocido;desconocido;0
276;López Alonso Inmobiliaria;piso;;Avenida de Pontejos;El Sardinero;Santander;950000;980000;3;sí;3;158;8;sí;sí;0
277;Inmobiliaria uranga;casa;chalét pareado;Barrio Rioseco;Guriezo;Guriezo;263000;;;no;4;116;;desconocido;desconocido;0
278;Inmonorte;piso;;Avenida de España;Centro;Laredo;495000;;;no;7;260;2;sí;no;0
279;Inmonorte;piso;;Avenida de España;Centro;Laredo;498000;;;no;3;90;bajo;sí;no;1
280;RE/MAX Vértice;casa;casa montañesa;Liérganes;Liérganes;Liérganes;750000;;;sí;10;392;;desconocido;desconocido;0
281;Inmosantander;casa;chalét pareado;Urbanización Virgen del Mar;Soto de la Marina;Santa Cruz de Bezana;545000;575000;5;sí;4;275;;desconocido;desconocido;0
282;Look & Find Santander;casa;chalét adosado;Calle Prosperidad;El Astillero;El Astillero;235000;249000;6;sí;2;90;;desconocido;desconocido;0
283;ELITE;casa;chalét independiente;Barrio Viveda;Viveda;Viveda;795000;;;sí;4;369;;desconocido;desconocido;0
284;Norinmobiliaria;casa;chalét adosado;Barrio la Portilla;Liendo;Liendo;598000;675000;11;no;7;405;;desconocido;desconocido;0
285;INMOBILIARIA INVERCASS;casa;chalét independiente;Barrio Islares;Oriñón-Allendagua;Castro-Urdiales;699000;;;sí;6;304;;desconocido;desconocido;0
286;Fuennova;piso;;Calle Río Saja 24;San Vicente de la Barquera;San Vicente de la Barquera;259000;;;sí;2;66;3;sí;sí;0
287;desconocido;dúplex;;Calle Teresa de Calcuta 14;Cotolino;Castro-Urdiales;330000;;;sí;3;106;5;sí;sí;0
288;Inmobiliaria Suances;piso;;Calle Torrelavega 6;Suances;Suances;349000;;;no;3;111;2;sí;no;0
289;Inmobiliaria PAS-NuevoPiso;piso;;Calle Arrabal;Centro - Ayuntamiento;Santander;295000;;;no;4;88;3;sí;no;0
290;Inmobiliaria Mi Villa;piso;;Barrio la Estación;Ampuero;Ampuero;172000;;;sí;3;85;2;sí;sí;0
291;Inmobiliaria Vacaciones;casa;chalét independiente;Calle Muelle del Rey;Somo;Ribamontan al Mar;1289000;;;sí;5;375;;desconocido;desconocido;0
292;Inmobiliaria Suances;casa;chalét independiente;Calle las Peñias 6;Suances;Suances;990000;;;sí;6;375;;desconocido;desconocido;0
293;Mirapiso;ático;;Avenida San Miguel 25;Meruelo;Meruelo;164000;168000;2;sí;2;88;2;sí;sí;0
294;EC Inmobiliaria;piso;;Calle San Juan Bautista de la Salle;General Dávila;Santander;330000;;;sí;2;76;3;sí;sí;0
295;Norhaus Real Estate;casa;chalét pareado;Barrio Solegrario;Ribamontan al Monte;Ribamontan al Monte;148000;150000;1;no;3;217;;desconocido;desconocido;0
296;Inmonojasol s.l;casa;chalét;Calle La Ojerada;Ajo;Ajo;399000;448000;11;sí;4;200;;desconocido;desconocido;0
297;Ática Inmobiliaria;piso;;Calle Simancas;General Dávila;Santander;340000;350000;3;sí;2;117;3;sí;sí;0
298;Ática Inmobiliaria;casa;chalét pareado;Barrio la Puntania;Mortera;Piélagos;499000;530000;6;sí;5;248;;desconocido;desconocido;0
299;Norhaus Real Estate;casa;casa de pueblo;Jan Curtius 17;Liérganes;Liérganes;625000;;;no;5;407;;desconocido;desconocido;0
300;Inmobiliaria Barrio;casa;chalét;Carretera Avios 30;Suances;Suances;950000;;;sí;4;319;;desconocido;desconocido;0
301;Inmosantander;casa;chalét independiente;Av Fernando Saiz;Soto de la Marina;Santa Cruz de Bezana;590000;690000;14;sí;5;148;;desconocido;desconocido;0
302;Norhaus Real Estate;casa;casa de pueblo;Carretera Trasculina 6;Riotuerto;Riotuerto;120000;;;no;3;269;;desconocido;desconocido;0
303;Inmobiliaria Barrio;ático;;Calle Valladolid 3;Suances;Suances;500000;;;no;3;103;5;sí;sí;0
304;Mies de Rial;piso;;Calle Burgos;Numancia - San Fernando;Santander;219000;230000;5;no;4;119;4;sí;no;0
305;Engel & Völkers Santander;casa;chalét independiente;Barrio Carrejo;Cabezón de la Sal;Cabezón de la Sal;670000;;;no;4;305;;desconocido;desconocido;0
306;Inmobiliaria uranga;casa;chalét independiente;Urbanización Peñaflor;Limpias;Limpias;415000;;;no;5;230;;desconocido;desconocido;0
307;Inmobiliaria PAS-NuevoPiso;piso;;Calle Gerardo Diego;Alisal - Cazoña - San Román;Santander;330000;;;sí;3;87;5;sí;sí;0
308;desconocido;dúplex;;Calle Ortiz Otáñez 32;Santoña;Santoña;310000;;;no;3;166;3;sí;sí;0
309;Grupo Imperio Building;casa;chalét independiente;Barrio Villaparte;Voto;Voto;275000;;;sí;3;125;;desconocido;desconocido;1
310;Espazio Inmobiliario;casa;chalét independiente;Carretera Ongayo;Suances;Suances;980000;;;sí;4;274;;desconocido;desconocido;0
311;Inmobiliaria PAS-NuevoPiso;casa;chalét independiente;CA-303;Mortera;Piélagos;470000;;;sí;4;360;;desconocido;desconocido;0
312;Norinmobiliaria;piso;;Av Cantabria;Escalante;Escalante;199000;;;no;3;99;1;sí;no;0
313;Inmobiliaria PAS-NuevoPiso;piso;;Calle Carlos III;Castilla - Hermida;Santander;328000;;;no;4;108;4;sí;sí;0
314;Grupo Imperio Building;dúplex;;Barrio la Somadilla;Voto;Voto;148000;156000;5;sí;3;100;1;desconocido;desconocido;0
315;Engel & Völkers Santander;casa;chalét independiente;Barrio la Esprilla;Igollo;Camargo;250000;;;no;2;54;;desconocido;desconocido;0
316;Look & Find Santander;piso;;Calle Alday;Maliaño;Camargo;250000;;;sí;2;86;bajo;sí;sí;0
317;Gestión Inmobiliaria Crisser;piso;;Avenida Benedicto Ruiz;Ajo;Ajo;325000;;;no;3;101;2;sí;no;1
318;Distrito Inmobiliario;piso;;Calle Justicia;Cuatro Caminos;Santander;250000;;;no;2;67;3;sí;no;0
319;Inmobiliaria Eurocasa;casa;chalét independiente;Liencres;Piélagos;Piélagos;600000;;;sí;3;104;;desconocido;desconocido;0
320;Gestión Inmobiliaria Crisser;piso;apartamento;Av Benedicto Ruiz;Ajo;Ajo;130000;;;no;1;47;1;sí;sí;0
321;Inmobiliaria las Dunas;casa;chalét independiente;La Tejera;Boo;Piélagos;670000;;;sí;5;400;;desconocido;desconocido;0
322;Inmobiliarias San Fernando;casa;chalét independiente;Barrio Mies del Valle;Oruña;Piélagos;567000;;;sí;5;262;;desconocido;desconocido;0
323;desconocido;casa;chalét independiente;Barrio San Mames Iglesia;Meruelo;Meruelo;420000;;;sí;3;150;;desconocido;desconocido;0
324;BilboLar Servicios Inmobiliarios;piso;;Calle República Argentina;Centro;Castro-Urdiales;400000;;;no;5;150;5;sí;sí;0
325;Inmobiliarias San Fernando;casa;chalét independiente;N-611;Cartes;Cartes;329000;;;sí;4;247;;desconocido;desconocido;0
326;Inmobiliaria uranga;casa;chalét independiente;Puente Barrio el;Guriezo;Guriezo;288000;298000;3;no;3;110;;desconocido;desconocido;0
327;RUBIO INMOBILIARIA;casa;casa de pueblo;Calle la Mies 7;Ampuero;Ampuero;395000;;;sí;4;284;;desconocido;desconocido;0
328;desconocido;casa;casa independiente;Bo Liaño-Bofetán;Villaescusa;Villaescusa;395000;;;sí;4;494;;desconocido;desconocido;0
329;Inmobiliaria las Dunas;piso;;Barrio Rodil;Mortera;Piélagos;159000;;;no;2;50;bajo;sí;no;1
330;Inmobiliaria SOMOPLAYA / INMOLOREDO;casa;chalét independiente;Ribamontan al Monte;;Ribamontan al Monte;450000;;;no;4;160;;desconocido;desconocido;0
331;Nortepisos;casa;chalét;Barrio la Sierra 1;Ris;Noja;359900;;;sí;3;100;;desconocido;desconocido;0
332;gestiona inmobiliaria;piso;;Tregadín;Noja;Noja;285000;295000;3;sí;1;65;bajo;sí;no;0
333;desconocido;piso;;Rasines;Rasines;Rasines;130000;134000;3;no;3;87;1;sí;no;0
334;Gestión Inmobiliaria Val de Cella;piso;;Calle Playa de Usil 465;Mogro;Mogro;210000;;;sí;2;60;1;sí;no;0
335;ELITE;casa;casona;Barcena de Cicero;Bárcena de Cicero;Bárcena de Cicero;1850000;;;sí;7;997;;desconocido;desconocido;0
336;Nortepisos;piso;;Avenida San Miguel 1;Meruelo;Meruelo;150000;;;sí;2;67;3;desconocido;desconocido;0
337;Fuennova;casa;chalét independiente;Barrio Abaño 3;San Vicente de la Barquera;San Vicente de la Barquera;585000;;;no;4;194;;desconocido;desconocido;0
338;INMOBILIARIA INVERCASS;casa;chalét adosado;Brazomar;Castro-Urdiales;Castro-Urdiales;515000;;;sí;4;247;;desconocido;desconocido;0
339;Inmonojasol s.l;casa;chalét;Barrio Castillo;Arnuero;Arnuero;430000;;;sí;4;290;;desconocido;desconocido;0
340;Ática Inmobiliaria;casa;casa de pueblo;Barrio Casuso;Bárcena de Cicero;Bárcena de Cicero;495000;;;no;8;361;;desconocido;desconocido;0
341;Inmonojasol s.l;casa;chalét adosado;Calle Alonso del Camino;Ajo;Ajo;375000;;;sí;5;190;;desconocido;desconocido;0
342;Inmonojasol s.l;casa;chalét adosado;Barrio el Mesón;Beranga;Beranga;340000;;;sí;5;200;;desconocido;desconocido;0
343;MENA INMOBILIARIA;piso;;Bezana;Santa Cruz de Bezana;Santa Cruz de Bezana;299000;309000;3;sí;3;95;1;sí;sí;0
344;Inmonojasol s.l;casa;chalét independiente;Carretera de Soano;Noja;Noja;1130000;;;sí;5;650;;desconocido;desconocido;0
345;Inmonojasol s.l;casa;chalét adosado;Avenida Ris;Ris;Noja;359900;;;sí;3;100;;desconocido;desconocido;0
346;desconocido;casa;casa independiente;Barrio el Carmen 40;Revilla;Camargo;349000;;;sí;4;324;;desconocido;desconocido;0
347;Inmonojasol s.l;casa;chalét adosado;Barrio Arnuero-Espinamonte;Arnuero;Arnuero;290000;;;sí;3;160;;desconocido;desconocido;0
348;Inmonojasol s.l;casa;chalét independiente;Calle el Casar;Tregadín;Noja;1290000;;;sí;4;715;;desconocido;desconocido;0
349;Inmonojasol s.l;casa;chalét;Barrio la Iglesia de San Mamés;Meruelo;Meruelo;374000;;;sí;3;180;;desconocido;desconocido;0
350;desconocido;piso;dúplex;Calle Cardenal Cisneros;General Dávila;Santander;450000;;;no;3;198;bajo;sí;no;0
351;desconocido;piso;;Calle San Luis;Numancia - San Fernando;Santander;220000;;;no;3;64;4;sí;no;0
352;Grupo Imperio Building;piso;;Voto;Voto;Voto;159000;;;sí;2;70;3;sí;sí;0
353;Engel & Völkers Santander;casa;masía;Lugar Padierniga;Voto;Voto;648000;;;sí;5;319;;desconocido;desconocido;0
354;Distrito Inmobiliario;casa;chalét pareado;Barrio el Callejo;Liencres;Piélagos;354000;;;sí;4;170;;desconocido;desconocido;0
355;Lovia Homes S.L.;casa;chalét independiente;Camargo;Camargo;Camargo;320000;;;no;4;607;;desconocido;desconocido;0
356;Inmobiliaria Barrio;casa;chalét independiente;Calle La Tabierna 47;Suances;Suances;950000;1150000;17;sí;6;456;;desconocido;desconocido;0
357;Gestión Inmobiliaria Val de Cella;piso;;Barrio la Sierra 61;Hoznayo;Hoznayo;210000;;;sí;3;91;bajo;sí;no;0
358;Inmobiliarias San Fernando;casa;chalét adosado;Puente San Miguel;Puente San Miguel;Puente San Miguel;369000;;;sí;3;214;;desconocido;desconocido;0
359;INMOBILIARIA COSTA BELLA;casa;chalét independiente;Barrio San Pantaleón;Arnuero;Arnuero;680000;;;sí;5;580;;desconocido;desconocido;0
360;Gestión Inmobiliaria Val de Cella;piso;;Calle Manuel González Hoyos 6;Valdenoja;Santander;630000;;;sí;3;119;2;sí;sí;0
361;Fuennova;casa;chalét independiente;Calle Río Saja;San Vicente de la Barquera;San Vicente de la Barquera;1800000;;;sí;8;812;;desconocido;desconocido;0
362;Inmobiliaria uranga;casa;casa independiente;Calle Carnerizas;Barcena de Cicero;Barcena de Cicero;220000;;;no;2;270;;desconocido;desconocido;0
363;Gestión Inmobiliaria Crisser;casa;chalét pareado;Ajo;Ajo;Ajo;450000;;;no;4;184;;desconocido;desconocido;0
364;Gestión Inmobiliaria Crisser;piso;ático;Ajo;Ajo;Ajo;275000;;;no;3;110;3;sí;sí;0
365;Espazio Inmobiliario;casa;casa independiente;Polanco;Polanco;Polanco;495000;;;sí;3;210;;desconocido;desconocido;0
366;Espazio Inmobiliario;casa;casa independiente;Entrambasaguas;Entrambasaguas;Entrambasaguas;455000;;;sí;4;206;;desconocido;desconocido;0
367;cadacasa;piso;;El Astillero;El Astillero;El Astillero;236000;;;sí;3;100;bajo;sí;no;0
368;gestiona inmobiliaria;casa;casa independiente;Galizano;Ribamontan al Mar;Ribamontan al Mar;480000;;;sí;3;124;;desconocido;desconocido;0
369;Gestión Inmobiliaria Crisser;casa;chalét adosado;Ajo;Ajo;Ajo;375000;;;sí;5;189;;desconocido;desconocido;0
370;Espazio Inmobiliario;casa;casa independiente;Arenas de Iguña;Arenas de Iguña;Arenas de Iguña;365000;;;sí;4;535;;desconocido;desconocido;0
371;Prada&Asociados;casa;chalét pareado;Ribamontan al Monte;Ribamontan al Monte;Ribamontan al Monte;250000;;;sí;8;430;;desconocido;desconocido;0
372;gestiona inmobiliaria;casa;casa independiente;Marina de Cudeyo;Marina de Cudeyo;Marina de Cudeyo;830000;;;sí;4;438;;desconocido;desconocido;0
373;Espazio Inmobiliario;piso;;Torrelavega;Torrelavega;Torrelavega;279000;;;no;3;85;1;sí;sí;0
374;SONSOLES GRUPO INMOBILIARIO;piso;;Cuatro Caminos;Santander;Santander;190000;;;no;1;86;bajo;sí;no;0
375;gestiona inmobiliaria;piso;;Ris;Noja;Noja;245000;;;sí;2;61;bajo;sí;sí;0
376;Bankcasas.com;piso;;Centro - Ayuntamiento;Santander;Santander;168000;;;no;3;120;bajo;sí;no;0
377;Prada&Asociados;casa;casa independiente;Laredo;Laredo;Laredo;460000;;;sí;6;295;;desconocido;desconocido;0
378;gestiona inmobiliaria;casa;casa independiente;Noja;Noja;Noja;395000;;;no;4;240;;desconocido;desconocido;0
379;gestiona inmobiliaria;piso;;Tregadín;Noja;Noja;225000;;;sí;2;62;bajo;sí;no;0
380;gestiona inmobiliaria;piso;ático;Ris;Noja;Noja;200000;;;sí;2;80;3;sí;no;0
381;desconocido;piso;apartamento;Calle Juan Jose Ruano 18;Santoña;Santoña;160000;;;no;1;55;entreplanta;sí;sí;0
382;Inmobiliaria Suances;piso;ático;Calle Serapio Beade 9;Suances;Suances;175000;;;sí;2;63;3;sí;sí;0
383;Inmobiliaria SOMOPLAYA;casa;casa independiente;Ribamontan al Monte;Ribamontan al Monte;Ribamontan al Monte;410000;;;sí;4;180;;desconocido;desconocido;0
384;INMOBILIARIA INVERCASS;piso;;Centro;Castro-Urdiales;Castro-Urdiales;269000;;;no;5;114;2;sí;no;0
385;MENA INMOBILIARIA;casa;casa independiente;Maoño;Santa Cruz de Bezana;Santa Cruz de Bezana;390000;;;sí;3;479;;desconocido;desconocido;0
386;Exclusivas inmobiliarias mikeli;casa;chalét;Ramales de la Victoria;Ramales de la Victoria;Ramales de la Victoria;1275000;;;no;6;382;;desconocido;desconocido;0
387;Mies de Rial;piso;;Numancia - San Fernando;Santander;Santander;259000;;;no;3;81;4;sí;sí;0
388;Exclusivas inmobiliarias mikeli;casa;casa independiente;Alfoz de Lloredo;Alfoz de Lloredo;Alfoz de Lloredo;765000;;;sí;4;494;;desconocido;desconocido;0
389;Exclusivas inmobiliarias mikeli;casa;casa independiente;Santoña;Santoña;Santoña;825000;;;sí;4;287;;desconocido;desconocido;0
390;Exclusivas inmobiliarias mikeli;casa;casa independiente;Ampuero;Ampuero;Ampuero;645000;;;no;10;541;;desconocido;desconocido;0
391;Inmobiliaria JC de Laredo;casa;casa independiente;Laredo;Laredo;Laredo;460000;;;sí;5;295;;desconocido;desconocido;0
392;Inmobiliarias.com;piso;;Playa Ostende;Castro-Urdiales;Castro-Urdiales;400000;;;no;2;80;1;sí;sí;0
393;Espazio Inmobiliario;casa;casa independiente;Igollo;Camargo;Camargo;2884000;;;sí;5;800;;desconocido;desconocido;0
394;Inmobiliaria Vacaciones;casa;casa independiente;Suesa;Ribamontan al Mar;Ribamontan al Mar;650000;;;sí;4;180;;desconocido;desconocido;0
395;Nortepisos;piso;;Tregadín;Noja;Noja;270000;;;sí;3;73;3;sí;sí;0
396;Obra nueva;piso;;Calle Manzanedo 35;Santoña;Santoña;177000;;;opcional;2;60;1;sí;sí;1
397;Obra nueva;piso;;Calle Manzanedo 35;Santoña;Santoña;160000;;;opcional;2;54;bajo;sí;sí;1
398;eXp Realty España;casa;casa independiente;Penagos;Penagos;Penagos;320000;;;sí;4;196;;desconocido;desconocido;0
