id_anuncio;fuente;tipo_inmueble;subtipo;direccion_texto;barrio_zona;municipio;precio_eur;precio_anterior_eur;descuento_pct;garaje_incluido;habitaciones;superficie_m2;planta;exterior;ascensor;obra_nueva_flag
42;Fincas Mafer;piso;;Avenida de Francia, 109;El Puntal;Laredo;550000;;;sí;4;278;6;sí;sí;0
43;Fincas Mafer;casa;chalét adosado;Avenida de la Libertad, 87;El Puntal;Laredo;395000;;;sí;4;188;;desconocido;desconocido;0
44;Trece Home;ático;;Avenida los Caleros;Ris;Noja;350000;;;sí;3;130;4;desconocido;sí;0
45;Inmobiliaria El Botxo;casa;chalét independiente;Oriñón-Allendagua;Oriñón-Allendagua;Castro-Urdiales;370000;;;sí;4;270;;desconocido;desconocido;0
46;donpiso Santander;piso;;Calle Juan José Pérez del Molino;General Dávila;Santander;385000;;;desconocido;3;138;2;sí;sí;0
47;Inmobiliaria E-Castro;edificio;;Barrio Sámano-Vallegón, 1;Sámano;Castro-Urdiales;780000;;;desconocido;3;860;1;sí;no;0
48;Inmobiliarias.com;casa;chalét independiente;Barrio Mellin Samano, s/n;Sámano;Castro-Urdiales;450000;;;sí;3;182;;desconocido;desconocido;0
49;Inmobiliarias.com;ático;;Ataulfo Argenta, 5;Cotolino;Castro-Urdiales;330000;;;desconocido;1;50;5;sí;sí;0
50;Inmobiliaria E-Castro;piso;;Calle República Argentina, 5;Centro;Castro-Urdiales;400000;;;desconocido;4;154;5;sí;sí;0
51;Inmobiliarias.com;casa;chalét adosado;Cerrillo Sámano;Sámano;Castro-Urdiales;405000;;;sí;4;210;;desconocido;desconocido;0
52;Inmobiliaria E-Castro;casa;chalét adosado;Barrio Sámano-Helguera;Sámano;Castro-Urdiales;335000;;;desconocido;4;192;;desconocido;desconocido;1
53;Inmobiliaria Mi Villa;piso;;Calle República de Chile;Zona Playa;Laredo;258000;;;desconocido;2;70;3;sí;no;0
54;Inmobiliaria Mi Villa;ático;;Calle Doctor Senderos;Carlos V;Laredo;580000;;;sí;4;240;5;sí;sí;0
55;Inmobiliaria Mi Villa;piso;apartamento;Calle República de Colombia;Zona Playa;Laredo;118500;;;desconocido;1;35;10;sí;sí;0
56;Inmobiliaria Mi Villa;piso;;Calle Marqués de Comillas;Centro;Laredo;420000;;;desconocido;3;156;9;sí;sí;0
57;Inmobiliaria Mi Villa;piso;apartamento;Calle República de Costa Rica;Zona Playa;Laredo;230000;;;desconocido;2;60;13;sí;sí;0
58;Inmobiliaria Mi Villa;piso;;Calle República de Guatemala;Zona Playa;Laredo;269000;;;desconocido;2;80;3;sí;sí;0
59;Inmobiliaria Uranga;casa;chalét pareado;Avenida de la Libertad;Zona Playa;Laredo;385000;398000;3;sí;4;180;;desconocido;desconocido;0
60;donpiso Santander;piso;;Calle General Moscardó;Castilla - Hermida;Santander;159000;165000;4;desconocido;3;68;3;sí;sí;0
61;Inmobiliaria Eurocasa;piso;;Calle Tetuán;General Dávila;Santander;335000;350000;4;sí;3;83;2;sí;sí;0
62;Trece Home;piso;;Calle los Nogales;Palacio;Noja;249000;;;sí;2;70;3;sí;sí;0
63;Fincas Mafer;piso;;Calle Duque de Ahumada, 9;Centro;Laredo;245000;;;desconocido;3;103;1;sí;no;0
64;MiPiso.com;casa;chalét pareado;Camino Derecha, 27 -13;El Callejo - La Pesquera - La Arenosa;Laredo;225000;;;sí;3;207;;desconocido;desconocido;0
65;Trece Home;piso;;Calle los Nogales;Tregadín;Noja;215000;;;sí;2;61;2;sí;desconocido;0
66;Fincas Mafer;casa;chalét independiente;Calle San Marcial, 23;Centro;Laredo;158000;;;desconocido;3;60;;desconocido;desconocido;0
67;donpiso Santander;piso;;Calle Isaac Peral;Numancia - San Fernando;Santander;190000;;;desconocido;3;79;1;sí;sí;0
68;Inmobiliaria Eurocasa;piso;;Calle San Celedonio;General Dávila;Santander;340000;;;desconocido;2;106;bajo;sí;no;0
69;Inmosantander;dúplex;;Av Cantabria;Valdenoja;Santander;695000;720000;3;sí;4;176;4;sí;sí;0
70;ELITE;piso;;Calle Ataulfo Argenta Músico;Puerto Chico;Santander;740000;;;desconocido;4;149;5;sí;sí;0
71;Inmobiliaria PAS-NuevoPiso;piso;;Calle Justicia;Cuatro Caminos;Santander;395000;;;sí;2;72;3;sí;sí;0
72;RK IDEPISOS;piso;;Calle Francisco de Quevedo;Centro - Ayuntamiento;Santander;440000;;;desconocido;3;124;3;sí;sí;0
73;ELITE;casa;chalét independiente;El Sardinero;El Sardinero;Santander;1395000;;;desconocido;12;337;;desconocido;desconocido;0
74;Inmobiliarias.com;casa;chalét adosado;Montesolmar, 22;Centro;Castro-Urdiales;800000;;;sí;4;350;;desconocido;desconocido;0
75;Inmobiliarias.com;piso;;Calle República Argentina, 9;Centro;Castro-Urdiales;400000;;;desconocido;4;143;5;sí;sí;0
76;Inmobiliarias.com;piso;;Barrio Brazomar;Brazomar;Castro-Urdiales;285000;;;sí;3;85;4;sí;sí;0
77;RK IDEPISOS;piso;;Calle San Celedonio;General Dávila;Santander;279000;;;desconocido;3;85;bajo;sí;no;1
78;Inmonorte;piso;;Avenida de Francia;El Puntal;Laredo;138000;;;desconocido;1;40;bajo;sí;sí;0
79;Inmobiliaria Salazar;piso;apartamento;Calle Teresa de Calcuta;Cotolino;Castro-Urdiales;163000;;;desconocido;1;42;5;sí;sí;0
80;Inmobiliarias.com;piso;;Islares;Islares;Castro-Urdiales;197000;;;desconocido;3;115;bajo;sí;sí;0
81;Mirapiso;dúplex;;Calle Ontanilla, 6;Tregadín;Noja;249900;;;sí;3;83;2;sí;no;0
82;Inmobiliaria Barrio;piso;;Calle Calderón de la Barca;Castilla - Hermida;Santander;540000;;;desconocido;4;155;5;sí;sí;0
83;Inmobiliarias.com;dúplex;;Residencial los arces;Oriñón-Allendagua;Castro-Urdiales;319000;;;sí;3;120;bajo;sí;no;0
84;Inmonojasol s.l;piso;apartamento;Paseo de Trengandín;Tregadín;Noja;230000;;;sí;2;62;1;sí;no;0
85;Distrito inmobiliario;casa;chalét independiente;Urbanización la Mina;Arce;Piélagos;890000;;;sí;6;620;;desconocido;desconocido;0
86;Inmobiliarias.com;casa;chalét independiente;Ayuntamientos Democraticos;Cotolino;Castro-Urdiales;850000;;;sí;5;365;;desconocido;desconocido;0
87;Inmobiliaria E-Castro;piso;;Calle Bajada del Chorrillo, 8;Centro;Castro-Urdiales;235000;249000;6;desconocido;2;91;2;sí;sí;0
88;Inmobiliaria las Dunas;piso;;Calle Marqués de la Hermida, 72;Castilla - Hermida;Santander;250000;;;desconocido;3;94;2;sí;sí;0
89;MENA INMOBILIARIA;piso;;El Parque - Zapatón;El Parque - Zapatón;Torrelavega;160000;;;desconocido;3;93;3;sí;sí;0
90;Exclusivas inmobiliarias mikeli;dúplex;;Paseo Menéndez Pelayo;General Dávila;Santander;530000;580000;9;desconocido;4;162;;sí;no;0
91;Exclusivas inmobiliarias mikeli;casa;chalét independiente;Barrio la Soledad;Arce;Piélagos;950000;;;sí;6;274;;desconocido;desconocido;0
92;Inmobiliaria Barrio;casa;;Valdenoja;Valdenoja;Santander;649000;;;sí;4;128;;desconocido;desconocido;0
93;Inmobiliarias.com;casa;chalét adosado;Onton, s/n;Baltezana-Ontón;Castro-Urdiales;299999;;;desconocido;4;201;;desconocido;desconocido;0
94;Inmobiliaria E-Castro;piso;;Calle el Sable, 8;Playa Ostende;Castro-Urdiales;400000;;;desconocido;2;76;1;sí;sí;0
95;Inmobiliaria Barrio;casa;chalét independiente;Alisal - Cazoña - San Román;Alisal - Cazoña - San Román;Santander;890000;;;sí;4;261;;desconocido;desconocido;0
96;Inmobiliaria E-Castro;piso;;Paseo Ocharan Mazas;Centro;Castro-Urdiales;425000;;;desconocido;1;103;4;sí;sí;0
97;Inmobiliaria E-Castro;piso;;Calle el Hoyo, 5;Playa Ostende;Castro-Urdiales;295000;;;sí;3;88;1;sí;sí;0
98;Inmobiliaria E-Castro;casa;chalét independiente;Calle Aureliano Linares Rivas, 17;Centro;Castro-Urdiales;715000;;;sí;7;550;;desconocido;desconocido;0
99;Inmobiliarias.com;casa;;Carretera mioño;Mioño-Santullán;Castro-Urdiales;360000;370000;3;desconocido;3;160;;desconocido;desconocido;0
100;Inmobiliarias.com;dúplex;;Menendez Pelayo;Brazomar;Castro-Urdiales;465000;;;sí;5;180;5;sí;sí;0
101;Inmobiliarias.com;casa;chalét adosado;Barrio de Santullán;Mioño-Santullán;Castro-Urdiales;370000;;;sí;3;203;;desconocido;desconocido;0
102;Inmobiliaria E-Castro;dúplex;;Calle San Andrés, 8;Cotolino;Castro-Urdiales;300000;;;sí;2;108;1;sí;sí;0
103;Inmobiliaria E-Castro;piso;;Calle Santander;Centro;Castro-Urdiales;260000;;;desconocido;3;84;1;sí;no;0
104;Inmobiliarias.com;casa;chalét independiente;Barrio Otañes;Otañes;Castro-Urdiales;330000;;;sí;4;200;;desconocido;desconocido;0
105;Inmobiliarias.com;ático;;Calle de Silvestre Ochoa;Playa Ostende;Castro-Urdiales;299800;;;sí;2;65;4;sí;sí;0
106;Inmobiliarias.com;casa;chalét pareado;Barrio Sámano;Sámano;Castro-Urdiales;415000;;;sí;4;260;;desconocido;desconocido;0
107;Inmobiliarias.com;piso;;Calle Venancio Bosco;Centro;Castro-Urdiales;295000;;;sí;2;79;1;sí;sí;0
108;Inmobiliarias.com;piso;;Calle de la Ronda, 3;Centro;Castro-Urdiales;295000;;;desconocido;3;104;1;sí;sí;0
109;Inmobiliarias.com;casa;chalét pareado;Subida a Cueto;Mioño-Santullán;Castro-Urdiales;360000;;;sí;4;220;;desconocido;desconocido;0
110;Inmobiliaria E-Castro;casa;chalét pareado;Barrio Otañes, 77;Otañes;Castro-Urdiales;293000;;;sí;3;163;;desconocido;desconocido;0
111;ACERO Inmobiliaria;casa;chalét independiente;Pozo barrio el;Boo;Piélagos;470000;;;sí;4;263;;desconocido;desconocido;0
112;Inmobiliarias.com;casa;chalét independiente;Ca-520;Sámano;Castro-Urdiales;540000;;;sí;5;316;;desconocido;desconocido;0
113;Inmobiliarias.com;piso;;Barrio Oriñón;Oriñón-Allendagua;Castro-Urdiales;195000;;;sí;2;70;3;sí;sí;0
114;Inmobiliaria E-Castro;piso;;Calle la Rúa;Centro;Castro-Urdiales;160000;196000;18;desconocido;4;143;2;sí;no;0
115;Inmobiliarias.com;dúplex;;Calle San Andrés;Cotolino;Castro-Urdiales;300000;;;sí;2;108;1;sí;sí;0
116;Inmobiliarias.com;casa;chalét pareado;Avenida de Chinchapapa;Cotolino;Castro-Urdiales;980000;;;sí;5;448;;desconocido;desconocido;0
117;Inmobiliarias.com;piso;;Calle Ataúlfo Argenta;Cotolino;Castro-Urdiales;240000;;;desconocido;2;72;bajo;sí;sí;0
118;Inmobiliarias.com;dúplex;;Paseo Menéndez Pelayo;Brazomar;Castro-Urdiales;210000;;;desconocido;2;101;2;sí;no;0
119;Inmobiliarias.com;piso;;Calle Padre Basabe;Playa Ostende;Castro-Urdiales;350000;;;opcional;2;87;2;sí;sí;0
120;Inmobiliarias.com;piso;;Calle el Hoyo;Playa Ostende;Castro-Urdiales;295000;;;sí;3;90;1;sí;sí;0
121;Inmobiliarias.com;casa;chalét adosado;Calle de Montecerredo;Brazomar;Castro-Urdiales;550000;;;sí;4;260;;desconocido;desconocido;0
122;Gestion inmobiliaria Victoria;ático;;Calle Miguel de Cervantes;Brazomar;Castro-Urdiales;280000;;;sí;2;70;4;sí;sí;0
123;Inmobiliarias.com;piso;;Calle Los Caserios;Centro;Castro-Urdiales;250000;;;sí;1;60;5;sí;sí;0
124;Inmobiliarias.com;ático;;Calle Santa Ana;Playa Ostende;Castro-Urdiales;336000;;;sí;3;130;3;sí;sí;0
125;Inmobiliarias.com;piso;;Calle Bajada del Chorrillo;Centro;Castro-Urdiales;299000;;;desconocido;3;90;2;sí;sí;0
