variable,VIF
superficie_construida_m2,3.072279
numero_dormitorios,2.286864
numero_banos,2.057942
dummy_tipologia_unifamiliar,1.294805
latitud,1.483191
longitud,1.75109
precio_m2_municipio,1.322169
