fuente,tipo_inmueble,subtipo,direccion_texto,barrio_zona,municipio,precio_eur,garaje_incluido,habitaciones,superficie_m2,planta,exterior,ascensor,finca
Fincas Mafer,piso,apartamento,"Avenida de Francia, 109",El Puntal,Laredo,550000.0,1.0,4.0,278.0,6.0,1.0,1.0,0
Fincas Mafer,casa,casa adosada,"Avenida de la Libertad, 87",El Puntal,Laredo,395000.0,1.0,4.0,188.0,0.0,,,0
Trece Home,piso,ático,Avenida los Caleros,Ris,Noja,350000.0,1.0,3.0,130.0,4.0,,1.0,0
Inmobiliaria El Botxo,casa,casa independiente,Oriñón-Allendagua,Oriñón-Allendagua,Castro-Urdiales,370000.0,1.0,4.0,270.0,0.0,,,0
donpiso Santander,piso,apartamento,Calle Juan José Pérez del Molino,General Dávila,Santander,385000.0,,3.0,138.0,2.0,1.0,1.0,0
Inmobiliarias.com,casa,casa independiente,"Barrio Mellin Samano, s/n",Sámano,Castro-Urdiales,450000.0,1.0,3.0,182.0,0.0,,,0
Inmobiliarias.com,piso,ático,"Ataulfo Argenta, 5",Cotolino,Castro-Urdiales,330000.0,,1.0,50.0,5.0,1.0,1.0,0
Inmobiliaria E-Castro,piso,apartamento,"Calle República Argentina, 5",Centro,Castro-Urdiales,400000.0,,4.0,154.0,5.0,1.0,1.0,0
Inmobiliarias.com,casa,casa adosada,Cerrillo Sámano,Sámano,Castro-Urdiales,405000.0,1.0,4.0,210.0,0.0,,,0
Inmobiliaria Mi Villa,piso,apartamento,Calle República de Chile,Zona Playa,Laredo,258000.0,,2.0,70.0,3.0,1.0,0.0,0
Inmobiliaria Mi Villa,piso,ático,Calle Doctor Senderos,Carlos V,Laredo,580000.0,1.0,4.0,240.0,5.0,1.0,1.0,0
Inmobiliaria Mi Villa,piso,apartamento,Calle República de Colombia,Zona Playa,Laredo,118500.0,,1.0,35.0,10.0,1.0,1.0,0
Inmobiliaria Mi Villa,piso,apartamento,Calle Marqués de Comillas,Centro,Laredo,420000.0,,3.0,156.0,9.0,1.0,1.0,0
Inmobiliaria Mi Villa,piso,apartamento,Calle República de Costa Rica,Zona Playa,Laredo,230000.0,,2.0,60.0,13.0,1.0,1.0,0
Inmobiliaria Mi Villa,piso,apartamento,Calle República de Guatemala,Zona Playa,Laredo,269000.0,,2.0,80.0,3.0,1.0,1.0,0
Inmobiliaria Uranga,casa,casa adosada,Avenida de la Libertad,Zona Playa,Laredo,385000.0,1.0,4.0,180.0,0.0,,,0
donpiso Santander,piso,apartamento,Calle General Moscardó,Castilla - Hermida,Santander,159000.0,,3.0,68.0,3.0,1.0,1.0,0
Inmobiliaria Eurocasa,piso,apartamento,Calle Tetuán,General Dávila,Santander,335000.0,1.0,3.0,83.0,2.0,1.0,1.0,0
Trece Home,piso,apartamento,Calle los Nogales,Palacio,Noja,249000.0,1.0,2.0,70.0,3.0,1.0,1.0,0
