variable,VIF
superficie_construida_m2,3.052993
numero_dormitorios,2.28302
numero_banos,2.024633
dummy_tipologia_unifamiliar,1.428904
distancia_min_playa_km,1.107715
distancia_min_supermercado_km,1.632541
distancia_min_colegio_km,1.581287
precio_m2_municipio,1.140094
