variable,coef,std_error,t_value,p_value
const,1140.693182,23.144161,49.286434,0.0
superficie_construida_m2,199.74218,40.43937,4.9393,1e-06
numero_dormitorios,46.759459,34.970057,1.337128,0.182067
numero_banos,8.021764,32.931738,0.243588,0.807696
dummy_tipologia_unifamiliar,-21.686845,27.665783,-0.783887,0.433647
distancia_min_playa_km,-46.726749,24.358773,-1.918272,0.055906
distancia_min_supermercado_km,2.815842,29.571508,0.095221,0.924195
distancia_min_colegio_km,-49.407201,29.103609,-1.697631,0.090484
precio_m2_municipio,253.315812,24.712219,10.25063,0.0
