variable,VIF
superficie_construida_m2,3.089079
numero_dormitorios,2.302993
numero_banos,2.076715
dummy_tipologia_unifamiliar,1.439435
tiene_garaje_bin,1.223238
obra_nueva_bin,
latitud,3.460105
longitud,2.78012
distancia_min_playa_km,2.383137
distancia_min_supermercado_km,1.718176
distancia_min_colegio_km,1.692026
precio_m2_municipio,1.424791
