variable,coef,std_error,t_value,p_value
const,1140.693182,23.216315,49.133258,0.0
superficie_construida_m2,197.330975,40.804472,4.836013,2e-06
numero_dormitorios,47.576888,35.232186,1.350381,0.177792
numero_banos,8.714836,33.456597,0.260482,0.79465
dummy_tipologia_unifamiliar,-22.474665,27.854108,-0.806871,0.420305
tiene_garaje_bin,17.966684,25.677266,0.699712,0.484586
obra_nueva_bin,0.0,0.0,3.202811,0.00149
latitud,-1.904105,43.185496,-0.044091,0.964857
longitud,-21.059135,38.710169,-0.544021,0.586784
distancia_min_playa_km,-49.527565,35.83998,-1.381908,0.167907
distancia_min_supermercado_km,0.172922,30.431764,0.005682,0.99547
distancia_min_colegio_km,-52.039389,30.199297,-1.723199,0.085762
precio_m2_municipio,263.44877,27.712062,9.506646,0.0
