variable,VIF
superficie_construida_m2,2.568582
numero_dormitorios,2.23573
numero_banos,1.920188
dummy_tipologia_unifamiliar,2.508214
distancia_min_playa_km,1.697778
distancia_min_supermercado_km,1.823853
distancia_min_colegio_km,1.502334
precio_m2_municipio,1.839263
