variable,coef,std_error,t_value,p_value
const,12.369454,0.018103,683.278651,0.0
superficie_construida_m2,0.124535,0.029031,4.28968,2.2e-05
numero_dormitorios,0.035209,0.027402,1.28492,0.199517
numero_banos,0.185213,0.026542,6.978007,0.0
dummy_tipologia_unifamiliar,0.029136,0.029186,0.998277,0.318711
tiene_garaje_bin,0.143488,0.020087,7.143195,0.0
obra_nueva_bin,-0.022052,0.019875,-1.109544,0.26782
latitud,0.011724,0.030428,0.385317,0.700194
longitud,0.022554,0.028778,0.783739,0.433628
distancia_min_playa_km,-0.134712,0.031268,-4.308258,2e-05
distancia_min_supermercado_km,-0.010814,0.024474,-0.441875,0.658803
distancia_min_colegio_km,-0.061957,0.022926,-2.702542,0.007156
