variable,coef,std_error,t_value,p_value
const,272503.396355,5573.720674,48.890752,0.0
superficie_construida_m2,41483.22803,7426.768684,5.585636,0.0
numero_dormitorios,8975.085261,8138.299292,1.102821,0.270715
numero_banos,68572.965299,7293.57852,9.401827,0.0
