y_true,y_pred,residual
178000.0,197037.98760070791,-19037.987600707915
595000.0,551374.2385399458,43625.7614600542
165000.0,175333.35764576722,-10333.357645767217
355000.0,322506.1909016683,32493.809098331723
200000.0,212224.38236556534,-12224.38236556534
170000.0,170118.76949370065,-118.7694937006454
84000.0,181417.04382317825,-97417.04382317825
440000.0,325090.6642990314,114909.33570096857
650000.0,265168.5419076059,384831.4580923941
660000.0,441867.88734654745,218132.11265345255
350000.0,473038.954897637,-123038.95489763701
190000.0,203990.77180346334,-13990.771803463344
164900.0,187912.45833459139,-23012.458334591385
70000.0,169684.22048102843,-99684.22048102843
209000.0,270383.13005967246,-61383.13005967246
345000.0,282962.2307484966,62037.7692515034
480000.0,574266.0541715932,-94266.05417159316
215000.0,164057.90399495972,50942.09600504028
115000.0,291195.8413105986,-176195.8413105986
240000.0,189650.65438528024,50349.34561471976
205000.0,175333.35764576722,29666.642354232783
360000.0,190519.75241062467,169480.24758937533
530000.0,527357.581481664,2642.418518336024
985000.0,559445.7463833976,425554.2536166024
215000.0,194430.69352467463,20569.30647532537
170000.0,170118.76949370065,-118.7694937006454
207000.0,282527.6817358244,-75527.68173582439
112000.0,281224.03469780774,-169224.03469780774
355000.0,285134.9758118577,69865.02418814233
270000.0,230543.90293380874,39456.09706619126
129000.0,158408.76683022093,-29408.766830220935
125000.0,172291.51455706172,-47291.51455706172
170000.0,194865.24253734684,-24865.242537346843
300000.0,299886.82156404294,113.17843595705926
887000.0,511713.8170254642,375286.1829745358
178000.0,178809.74974714493,-809.7497471449315
190000.0,165796.10004564858,24203.899954351422
180000.0,278616.74062177446,-98616.74062177446
225000.0,175333.35764576722,49666.64235423278
349000.0,328589.8770790793,20410.122920920723
350000.0,414150.3912181655,-64150.39121816552
215000.0,267775.8359836392,-52775.835983639176
177000.0,259953.9537555393,-82953.95375553929
243000.0,279485.8386471189,-36485.838647118886
110000.0,171422.4165317173,-61422.41653171729
335000.0,282093.1327231522,52906.86727684783
185000.0,191823.3994486413,-6823.399448641314
270000.0,230543.90293380874,39456.09706619126
185000.0,200948.92871475784,-15948.928714757843
615000.0,431461.5317210844,183538.46827891562
195000.0,165361.55103297636,29638.448967023636
238000.0,297302.34816667973,-59302.34816667973
244000.0,283831.328773841,-39831.32877384103
230000.0,280789.4856851355,-50789.48568513553
173000.0,265603.0909202781,-92603.0909202781
220000.0,185305.16425855807,34694.83574144193
580000.0,373666.5130356797,206333.4869643203
595000.0,314661.4879948982,280338.5120051018
169000.0,190085.20339795246,-21085.203397952457
235000.0,177506.1027091283,57493.89729087171
215000.0,263864.89486958925,-48864.89486958925
133000.0,193127.046486658,-60127.046486657986
450000.0,325502.39263303357,124497.60736696643
261000.0,275163.1691990668,-14163.169199066819
287000.0,214397.12742892644,72602.87257107356
595000.0,324656.1152863592,270343.8847136408
245000.0,177506.1027091283,67493.89729087171
130000.0,161016.06090625422,-31016.06090625422
799000.0,648573.9353385421,150426.0646614579
298000.0,195734.34056269127,102265.65943730873
265000.0,279920.3876597911,-14920.3876597911
196000.0,177506.1027091283,18493.89729087171
230000.0,279051.2896344467,-49051.28963444667
295000.0,202687.1247654467,92312.8752345533
290000.0,267341.28697096696,22658.71302903304
195000.0,266906.73795829475,-71906.73795829475
350000.0,390273.01619986375,-40273.01619986375
1100000.0,525573.7440736349,574426.2559263651
498000.0,302059.566627404,195940.433372596
545000.0,447951.57352395845,97048.42647604155
190000.0,187043.36030924696,2956.6396907530434
173000.0,265603.0909202781,-92603.0909202781
500000.0,472263.4975549325,27736.502445067512
253000.0,297302.34816667973,-44302.34816667973
170000.0,170118.76949370065,-118.7694937006454
460000.0,270817.6790723447,189182.32092765532
185000.0,190542.57308929478,-5542.573089294776
335000.0,174464.2596204228,160535.7403795772
515000.0,527357.581481664,-12357.581481663976
210000.0,191823.3994486413,18176.600551358686
620000.0,298605.9952046964,321394.0047953036
195000.0,180547.94579783382,14452.054202166182
220000.0,179678.84777248936,40321.15222751064
219000.0,209205.35995552994,9794.640044470056
375000.0,183589.78888653932,191410.21111346068
119900.0,179221.47808114707,-59321.47808114707
569000.0,406669.41732009803,162330.58267990197
142000.0,278205.0122877724,-136205.01228777238
230000.0,261692.14980622815,-31692.149806228146
295000.0,182286.14184852267,112713.85815147733
170000.0,202687.1247654467,-32687.1247654467
244900.0,305558.77940745186,-60658.77940745186
306000.0,266472.18894562253,39527.81105437747
950000.0,307274.1547794706,642725.8452205295
220000.0,180982.49481050603,39017.50518949397
170000.0,170118.76949370065,-118.7694937006454
395000.0,497373.6996072811,-102373.69960728107
139000.0,167534.29609633746,-28534.296096337464
690000.0,397637.5287366214,292362.4712633786
176000.0,269514.03203432803,-93514.03203432803
