column,mean,std,lower_3sigma,upper_3sigma,outliers_column,rows_removed_total
precio,325159.2003311258,305820.5894111601,-592302.5679023545,1242620.968564606,13,55
superficie_construida_m2,153.07781456953643,170.5255284859794,-358.4987708884018,664.6544000274746,7,55
numero_dormitorios,3.043046357615894,1.4356395502983235,-1.2638722932790762,7.349965008510864,5,55
numero_banos,1.8526490066225165,1.0420669742345758,-1.273551916081211,4.978849929326244,12,55
distancia_min_playa_km,3.5191788079470196,3.1211085748880376,-5.844146916717094,12.882504532611133,4,55
distancia_min_supermercado_km,0.7855182119205297,1.1281535981678446,-2.598942582583004,4.169979006424064,22,55
distancia_min_colegio_km,0.7748327814569537,1.0486183057609817,-2.3710221358259913,3.920687698739899,18,55
latitud,43.40119602615894,0.053290435797668304,43.24132471876594,43.56106733355195,0,55
longitud,-3.638391841556292,0.33224199745766714,-4.635117833929294,-2.6416658491832905,0,55
