variable,coef,std_error,t_value,p_value
const,6.95944,0.014773,471.076805,0.0
superficie_construida_m2,0.147676,0.025813,5.720896,0.0
numero_dormitorios,0.051726,0.022322,2.317229,0.02108
numero_banos,0.025432,0.021021,1.209831,0.227177
dummy_tipologia_unifamiliar,-0.01429,0.01766,-0.809194,0.418965
distancia_min_playa_km,-0.046389,0.015549,-2.983422,0.003055
distancia_min_supermercado_km,-0.001138,0.018876,-0.06029,0.95196
distancia_min_colegio_km,-0.03981,0.018578,-2.142895,0.032825
precio_m2_municipio,0.172809,0.015774,10.955058,0.0
