variable,VIF
superficie_construida_m2,3.043901
numero_dormitorios,2.27881
numero_banos,2.009484
dummy_tipologia_unifamiliar,1.428903
distancia_min_playa_km,1.04383
distancia_min_supermercado_km,1.60744
distancia_min_colegio_km,1.502012
