variable,VIF
superficie_construida_m2,2.552077
numero_dormitorios,2.13973
numero_banos,1.818155
dummy_tipologia_unifamiliar,2.147459
latitud,1.485035
longitud,1.58728
precio_m2_municipio,1.634677
