variable,coef,std_error,t_value,p_value
const,12.369454,0.018198,679.699852,0.0
superficie_construida_m2,0.151704,0.029072,5.218144,0.0
numero_dormitorios,0.048366,0.02662,1.816878,0.06993
numero_banos,0.204455,0.024539,8.331974,0.0
dummy_tipologia_unifamiliar,0.038434,0.026668,1.441202,0.150254
latitud,0.026303,0.022177,1.186059,0.236252
longitud,-0.002788,0.022928,-0.121618,0.903258
precio_m2_municipio,0.20949,0.023267,9.003534,0.0
