variable,VIF
superficie_construida_m2,3.039104
numero_dormitorios,2.272296
numero_banos,2.049122
dummy_tipologia_unifamiliar,1.25199
tiene_garaje_bin,1.071994
obra_nueva_bin,
precio_m2_municipio,1.029293
