id,tipo_inmueble,titulo,municipio,zona,precio_mensual_eur,habitaciones,superficie_m2,planta,exterior,ascensor,garaje_incluido,garaje_opcional,temporada,lujo,vistas_mar,amueblado,observaciones
465,Piso,Piso en Helgueras 14,Noja,Helgueras,700,2,85,1ª,si,si,no,no,si,no,no,si,Temporal
466,Piso,Piso en Paseo Trengandin,Noja,Tregadin,550,2,62,1ª,si,no,si,no,si,no,si,si,Vistas mar
467,Piso,Piso en Avenida España,Laredo,Centro,1000,2,75,2ª,si,no,si,no,si,no,no,si,Cerca playa
468,Chalet adosado,Chalet en Pintor Angel Alonso,Laredo,El Puntal,1450,4,200,,si,,si,no,no,no,no,no,
469,Piso,Piso en Paseo Maritimo Mogro,Miengo,Mogro,1000,2,80,1ª,si,no,si,no,si,no,no,si,Vacacional
470,Piso,Piso en Calle la Paz 6,Santoña,Santoña,650,3,95,2ª,si,no,no,no,si,no,no,no,Marzo-junio
471,Piso,Piso en Calle Jose Felipe Quijano 6,Torrelavega,Centro,580,1,45,3ª,si,no,no,no,no,no,no,si,Centro peatonal
472,Chalet pareado,Chalet en Polanco,Polanco,Polanco,1750,4,150,,si,,si,no,si,no,no,no,Temporal estudiantes
473,Casa rural,Casa rural en Diseminado Cos 5,Mazcuerras,Mazcuerras,2500,6,1430,,si,,no,no,no,no,no,no,Opcion compra
474,Piso,Piso en Centro,Torrelavega,Centro,825,3,100,2ª,si,si,no,no,no,no,no,si,Sin barreras
475,Piso,Piso en Barrio Cobreces 42,Alfoz de Lloredo,Cobreces,800,2,70,Bajo,si,no,si,no,si,no,no,si,Terraza piscina
476,Piso,Piso en Barrio las Lastras 24,Viveda,Viveda,625,2,60,1ª,si,no,no,no,si,no,no,si,Temporal
477,Piso,Piso en Julio Ruiz Salazar 51,Torrelavega,Covadonga,900,3,75,2ª,si,no,no,no,no,no,no,si,Solo empresas
478,Piso,Piso en Calle Pintor Modinos,Torrelavega,Centro,1000,3,89,1ª,si,si,no,no,si,no,no,si,Temporal empresas
479,Casa o chalet independiente,Casa en Barrio Cobreces,Alfoz de Lloredo,Cobreces,12472,4,274,,si,,si,no,si,si,si,no,Vacacional lujo vistas
480,Piso,Piso en Calle Marcel Piron,Torrelavega,Barreda,850,4,89,1ª,si,no,no,no,no,no,no,si,
481,Piso,Piso en Plaza San Bartolome 9,Torrelavega,Barreda,1100,5,164,1ª,si,no,no,no,no,no,no,si,Solo empresas
482,Piso,Piso en Joaquin Fernandez Vallejo 14,Torrelavega,Ciudad Nueva,1000,3,98,2ª,si,si,no,no,no,no,no,si,
483,Chalet adosado,Chalet en Barrio Cumbrales,Polanco,Polanco,800,2,82,,si,,si,no,no,no,no,no,Piscina
484,Piso,Piso en Barrio las Quintas 20,Viveda,Viveda,550,2,50,Bajo,si,no,no,no,no,no,no,si,Temporal
485,Dúplex,Duplex en Barrio las Quintas 20,Viveda,Viveda,500,1,40,Bajo,si,no,no,no,no,no,no,si,Temporal
486,Piso,Piso en Sierrapando,Torrelavega,Sierrapando,630,1,62,1ª,si,si,no,no,no,no,no,si,Alquiler fijo
487,Chalet pareado,Chalet en Urbanizacion Playa Cobreces,Alfoz de Lloredo,Cobreces,2500,4,130,,si,,no,no,si,no,si,no,Vistas mar
488,Estudio,Estudio en Barrio Viallan 254,Alfoz de Lloredo,Oreña,600,0,60,1ª,si,no,no,no,si,no,no,si,Turistico
489,Piso,Piso en Calle Valle Campoo,Torrelavega,Ciudad Nueva,620,2,60,2ª,si,no,no,no,no,no,no,si,
490,Chalet adosado,Chalet en Barrio Mar 13,Polanco,Polanco,1750,4,170,,si,,si,no,no,no,no,no,
491,Casa o chalet independiente,Casa en Polanco,Polanco,Polanco,990,3,217,,si,,no,no,si,no,no,no,Temporal
492,Ático,Atico en Barrio Alto Torres 29,Torrelavega,Torres,900,2,160,1ª,si,no,si,no,no,no,no,si,Gran terraza
493,Casa o chalet independiente,Casa en Alfoz Lloredo,Alfoz de Lloredo,Alfoz,7301,3,184,,si,,si,no,si,si,no,no,Vacacional lujo
494,Piso,Piso en Padre Rabago,Torrelavega,Barreda,850,2,75,5ª,si,si,no,no,no,no,no,si,Personal sanitario
495,Piso,Piso en Centro,Torrelavega,Centro,1000,3,90,2ª,si,si,no,no,si,no,no,si,Temporal empresas
496,Piso,Piso en Ciudad Vergel,Torrelavega,Ciudad Vergel,950,2,60,1ª,si,no,no,no,si,no,no,si,Temporal
497,Piso,Piso en Avenida Solvay 2,Torrelavega,Barreda,900,3,96,Bajo,si,si,no,no,si,no,no,si,Temporal
498,Estudio,Estudio en Raimundo Cicero 1,Torrelavega,Zapaton,800,0,70,Bajo,si,no,no,no,no,no,no,si,Reformado
499,Piso,Piso en Antigua Ferretera 1,Torrelavega,Barreda,800,3,96,Bajo,si,si,no,no,si,no,no,si,Temporal
500,Piso,Piso en Viveda,Viveda,Viveda,590,2,45,Bajo,si,no,si,no,si,no,no,si,Temporal
501,Piso,Piso en El Parque Zapaton,Torrelavega,Zapaton,990,3,120,1ª,si,si,no,no,no,no,no,si,Duplex
502,Piso,Piso en Cartes,Cartes,Cartes,620,2,80,Bajo,si,si,no,no,si,no,no,si,Temporal
503,Piso,Piso en Joaquin Cayon 14,Torrelavega,Zapaton,850,3,90,3ª,si,si,no,no,no,no,no,si,
504,Piso,Piso en Parque 1,Torrelavega,Centro,825,1,65,2ª,si,si,no,no,no,no,no,si,
505,Piso,Piso en Jose Maria Pereda 27,Torrelavega,Zapaton,750,1,45,3ª,si,si,no,no,si,no,no,si,Septiembre-junio
506,Casa de pueblo,Casa en Barrio Canales 49,Udias,Udias,580,1,55,,si,,si,no,si,no,si,no,Vistas mar
507,Casa rural,Casa rural en Autovia 634,Reocin,Caranceja,750,2,100,,si,,si,no,si,no,no,no,Rural
